eQTL_thres	Num_all	Num_add_cis	Num_add_trans	Num_dom_cis	Num_dom_trans	Fisher_pvalue
3.5	5965	1412	2678	62	1813	3.78633517206211e-187
3.51	5965	1412	2678	62	1813	3.78633517206211e-187
3.52	5965	1412	2678	62	1813	3.78633517206211e-187
3.53	5965	1412	2678	62	1813	3.78633517206211e-187
3.54	5965	1412	2678	62	1813	3.78633517206211e-187
3.55	5965	1412	2678	62	1813	3.78633517206211e-187
3.56	5965	1412	2678	62	1813	3.78633517206211e-187
3.57	5965	1412	2678	62	1813	3.78633517206211e-187
3.58	5965	1412	2678	62	1813	3.78633517206211e-187
3.59	5965	1412	2678	62	1813	3.78633517206211e-187
3.6	5965	1412	2678	62	1813	3.78633517206211e-187
3.61	5965	1412	2678	62	1813	3.78633517206211e-187
3.62	5965	1412	2678	62	1813	3.78633517206211e-187
3.63	5965	1412	2678	62	1813	3.78633517206211e-187
3.64	5965	1412	2678	62	1813	3.78633517206211e-187
3.65	5965	1412	2678	62	1813	3.78633517206211e-187
3.66	5965	1412	2678	62	1813	3.78633517206211e-187
3.67	5965	1412	2678	62	1813	3.78633517206211e-187
3.68	5965	1412	2678	62	1813	3.78633517206211e-187
3.69	5965	1412	2678	62	1813	3.78633517206211e-187
3.7	5965	1412	2678	62	1813	3.78633517206211e-187
3.71	5965	1412	2678	62	1813	3.78633517206211e-187
3.72	5965	1412	2678	62	1813	3.78633517206211e-187
3.73	5965	1412	2678	62	1813	3.78633517206211e-187
3.74	5965	1412	2678	62	1813	3.78633517206211e-187
3.75	5965	1412	2678	62	1813	3.78633517206211e-187
3.76	5965	1412	2678	62	1813	3.78633517206211e-187
3.77	5965	1412	2678	62	1813	3.78633517206211e-187
3.78	5965	1412	2678	62	1813	3.78633517206211e-187
3.79	5965	1412	2678	62	1813	3.78633517206211e-187
3.8	5965	1412	2678	62	1813	3.78633517206211e-187
3.81	5965	1412	2678	62	1813	3.78633517206211e-187
3.82	5965	1412	2678	62	1813	3.78633517206211e-187
