eQTL_thres	Num_all	Num_add_cis	Num_add_trans	Num_dom_cis	Num_dom_trans	Fisher_pvalue
3.5	6269	1376	2735	51	2107	2.91331146673993e-219
3.51	6269	1376	2735	51	2107	2.91331146673993e-219
3.52	6269	1376	2735	51	2107	2.91331146673993e-219
3.53	6269	1376	2735	51	2107	2.91331146673993e-219
3.54	6269	1376	2735	51	2107	2.91331146673993e-219
3.55	6269	1376	2735	51	2107	2.91331146673993e-219
3.56	6269	1376	2735	51	2107	2.91331146673993e-219
3.57	6269	1376	2735	51	2107	2.91331146673993e-219
3.58	6269	1376	2735	51	2107	2.91331146673993e-219
3.59	6269	1376	2735	51	2107	2.91331146673993e-219
3.6	6269	1376	2735	51	2107	2.91331146673993e-219
3.61	6269	1376	2735	51	2107	2.91331146673993e-219
3.62	6269	1376	2735	51	2107	2.91331146673993e-219
3.63	6269	1376	2735	51	2107	2.91331146673993e-219
3.64	6269	1376	2735	51	2107	2.91331146673993e-219
3.65	6269	1376	2735	51	2107	2.91331146673993e-219
3.66	6269	1376	2735	51	2107	2.91331146673993e-219
3.67	6269	1376	2735	51	2107	2.91331146673993e-219
3.68	6269	1376	2735	51	2107	2.91331146673993e-219
3.69	6269	1376	2735	51	2107	2.91331146673993e-219
3.7	6269	1376	2735	51	2107	2.91331146673993e-219
3.71	6269	1376	2735	51	2107	2.91331146673993e-219
3.72	6269	1376	2735	51	2107	2.91331146673993e-219
3.73	6269	1376	2735	51	2107	2.91331146673993e-219
3.74	6269	1376	2735	51	2107	2.91331146673993e-219
3.75	6269	1376	2735	51	2107	2.91331146673993e-219
3.76	6269	1376	2735	51	2107	2.91331146673993e-219
3.77	6269	1376	2735	51	2107	2.91331146673993e-219
3.78	6269	1376	2735	51	2107	2.91331146673993e-219
3.79	6269	1376	2735	51	2107	2.91331146673993e-219
3.8	6269	1376	2735	51	2107	2.91331146673993e-219
3.81	6269	1376	2735	51	2107	2.91331146673993e-219
3.82	6269	1376	2735	51	2107	2.91331146673993e-219
3.83	6269	1376	2735	51	2107	2.91331146673993e-219
3.84	6269	1376	2735	51	2107	2.91331146673993e-219
3.85	6269	1376	2735	51	2107	2.91331146673993e-219
3.86	6269	1376	2735	51	2107	2.91331146673993e-219
3.87	6269	1376	2735	51	2107	2.91331146673993e-219
3.88	6269	1376	2735	51	2107	2.91331146673993e-219
3.89	6269	1376	2735	51	2107	2.91331146673993e-219
3.9	6269	1376	2735	51	2107	2.91331146673993e-219
3.91	6269	1376	2735	51	2107	2.91331146673993e-219
3.92	6269	1376	2735	51	2107	2.91331146673993e-219
3.93	6269	1376	2735	51	2107	2.91331146673993e-219
3.94	6269	1376	2735	51	2107	2.91331146673993e-219
3.95	6269	1376	2735	51	2107	2.91331146673993e-219
3.96	6269	1376	2735	51	2107	2.91331146673993e-219
3.97	6269	1376	2735	51	2107	2.91331146673993e-219
3.98	6269	1376	2735	51	2107	2.91331146673993e-219
3.99	6269	1376	2735	51	2107	2.91331146673993e-219
4	6269	1376	2735	51	2107	2.91331146673993e-219
4.01	6269	1376	2735	51	2107	2.91331146673993e-219
4.02	6269	1376	2735	51	2107	2.91331146673993e-219
4.03	6269	1376	2735	51	2107	2.91331146673993e-219
4.04	6269	1376	2735	51	2107	2.91331146673993e-219
4.05	6269	1376	2735	51	2107	2.91331146673993e-219
4.06	6269	1376	2735	51	2107	2.91331146673993e-219
4.07	6269	1376	2735	51	2107	2.91331146673993e-219
4.08	6269	1376	2735	51	2107	2.91331146673993e-219
4.09	6269	1376	2735	51	2107	2.91331146673993e-219
4.1	6269	1376	2735	51	2107	2.91331146673993e-219
4.11	6269	1376	2735	51	2107	2.91331146673993e-219
4.12	6269	1376	2735	51	2107	2.91331146673993e-219
4.13	6269	1376	2735	51	2107	2.91331146673993e-219
4.14	6269	1376	2735	51	2107	2.91331146673993e-219
4.15	6269	1376	2735	51	2107	2.91331146673993e-219
4.16	6269	1376	2735	51	2107	2.91331146673993e-219
4.17	6269	1376	2735	51	2107	2.91331146673993e-219
4.18	6269	1376	2735	51	2107	2.91331146673993e-219
4.19	6269	1376	2735	51	2107	2.91331146673993e-219
4.2	6269	1376	2735	51	2107	2.91331146673993e-219
4.21	6269	1376	2735	51	2107	2.91331146673993e-219
4.22	6269	1376	2735	51	2107	2.91331146673993e-219
4.23	6269	1376	2735	51	2107	2.91331146673993e-219
4.24	6269	1376	2735	51	2107	2.91331146673993e-219
4.25	6269	1376	2735	51	2107	2.91331146673993e-219
4.26	6269	1376	2735	51	2107	2.91331146673993e-219
4.27	6269	1376	2735	51	2107	2.91331146673993e-219
4.28	6269	1376	2735	51	2107	2.91331146673993e-219
4.29	6269	1376	2735	51	2107	2.91331146673993e-219
4.3	6269	1376	2735	51	2107	2.91331146673993e-219
4.31	6269	1376	2735	51	2107	2.91331146673993e-219
4.32	6269	1376	2735	51	2107	2.91331146673993e-219
4.33	6269	1376	2735	51	2107	2.91331146673993e-219
4.34	6269	1376	2735	51	2107	2.91331146673993e-219
4.35	6269	1376	2735	51	2107	2.91331146673993e-219
4.36	6269	1376	2735	51	2107	2.91331146673993e-219
4.37	6269	1376	2735	51	2107	2.91331146673993e-219
4.38	6269	1376	2735	51	2107	2.91331146673993e-219
4.39	6269	1376	2735	51	2107	2.91331146673993e-219
4.4	6269	1376	2735	51	2107	2.91331146673993e-219
4.41	6269	1376	2735	51	2107	2.91331146673993e-219
4.42	6269	1376	2735	51	2107	2.91331146673993e-219
4.43	6269	1376	2735	51	2107	2.91331146673993e-219
4.44	6269	1376	2735	51	2107	2.91331146673993e-219
4.45	6269	1376	2735	51	2107	2.91331146673993e-219
4.46	6269	1376	2735	51	2107	2.91331146673993e-219
4.47	6264	1375	2734	50	2105	7.59779486735649e-220
