eQTL_thres	Num_all	Num_add_cis	Num_add_trans	Num_dom_cis	Num_dom_trans	Fisher_pvalue
3.5	2707	782	410	27	1488	0
3.51	2707	782	410	27	1488	0
3.52	2707	782	410	27	1488	0
3.53	2707	782	410	27	1488	0
3.54	2707	782	410	27	1488	0
3.55	2707	782	410	27	1488	0
3.56	2707	782	410	27	1488	0
3.57	2707	782	410	27	1488	0
3.58	2707	782	410	27	1488	0
3.59	2707	782	410	27	1488	0
3.6	2707	782	410	27	1488	0
3.61	2707	782	410	27	1488	0
3.62	2707	782	410	27	1488	0
3.63	2707	782	410	27	1488	0
3.64	2707	782	410	27	1488	0
3.65	2707	782	410	27	1488	0
3.66	2707	782	410	27	1488	0
3.67	2707	782	410	27	1488	0
3.68	2707	782	410	27	1488	0
3.69	2707	782	410	27	1488	0
3.7	2707	782	410	27	1488	0
3.71	2707	782	410	27	1488	0
3.72	2707	782	410	27	1488	0
3.73	2707	782	410	27	1488	0
3.74	2707	782	410	27	1488	0
3.75	2707	782	410	27	1488	0
3.76	2707	782	410	27	1488	0
3.77	2707	782	410	27	1488	0
3.78	2707	782	410	27	1488	0
3.79	2707	782	410	27	1488	0
3.8	2707	782	410	27	1488	0
3.81	2707	782	410	27	1488	0
3.82	2707	782	410	27	1488	0
3.83	2707	782	410	27	1488	0
3.84	2707	782	410	27	1488	0
3.85	2707	782	410	27	1488	0
3.86	2707	782	410	27	1488	0
3.87	2707	782	410	27	1488	0
3.88	2707	782	410	27	1488	0
3.89	2707	782	410	27	1488	0
3.9	2707	782	410	27	1488	0
3.91	2707	782	410	27	1488	0
3.92	2707	782	410	27	1488	0
3.93	2707	782	410	27	1488	0
3.94	2707	782	410	27	1488	0
3.95	2707	782	410	27	1488	0
3.96	2707	782	410	27	1488	0
3.97	2707	782	410	27	1488	0
3.98	2707	782	410	27	1488	0
3.99	2707	782	410	27	1488	0
4	2707	782	410	27	1488	0
4.01	2707	782	410	27	1488	0
4.02	2707	782	410	27	1488	0
4.03	2707	782	410	27	1488	0
4.04	2707	782	410	27	1488	0
4.05	2707	782	410	27	1488	0
4.06	2707	782	410	27	1488	0
4.07	2707	782	410	27	1488	0
4.08	2707	782	410	27	1488	0
4.09	2707	782	410	27	1488	0
4.1	2707	782	410	27	1488	0
4.11	2707	782	410	27	1488	0
4.12	2707	782	410	27	1488	0
4.13	2707	782	410	27	1488	0
4.14	2707	782	410	27	1488	0
4.15	2707	782	410	27	1488	0
4.16	2707	782	410	27	1488	0
4.17	2707	782	410	27	1488	0
4.18	2707	782	410	27	1488	0
4.19	2707	782	410	27	1488	0
4.2	2707	782	410	27	1488	0
4.21	2707	782	410	27	1488	0
4.22	2707	782	410	27	1488	0
4.23	2707	782	410	27	1488	0
4.24	2707	782	410	27	1488	0
4.25	2707	782	410	27	1488	0
4.26	2707	782	410	27	1488	0
4.27	2707	782	410	27	1488	0
4.28	2707	782	410	27	1488	0
4.29	2707	782	410	27	1488	0
4.3	2707	782	410	27	1488	0
4.31	2707	782	410	27	1488	0
4.32	2707	782	410	27	1488	0
4.33	2707	782	410	27	1488	0
4.34	2707	782	410	27	1488	0
4.35	2707	782	410	27	1488	0
4.36	2707	782	410	27	1488	0
4.37	2707	782	410	27	1488	0
4.38	2707	782	410	27	1488	0
4.39	2707	782	410	27	1488	0
4.4	2707	782	410	27	1488	0
4.41	2707	782	410	27	1488	0
4.42	2707	782	410	27	1488	0
4.43	2707	782	410	27	1488	0
4.44	2707	782	410	27	1488	0
4.45	2707	782	410	27	1488	0
4.46	2707	782	410	27	1488	0
4.47	2707	782	410	27	1488	0
4.48	2707	782	410	27	1488	0
4.49	2707	782	410	27	1488	0
4.5	2707	782	410	27	1488	0
4.51	2707	782	410	27	1488	0
4.52	2707	782	410	27	1488	0
4.53	2707	782	410	27	1488	0
4.54	2707	782	410	27	1488	0
4.55	2707	782	410	27	1488	0
4.56	2707	782	410	27	1488	0
4.57	2707	782	410	27	1488	0
4.58	2707	782	410	27	1488	0
4.59	2707	782	410	27	1488	0
4.6	2707	782	410	27	1488	0
4.61	2707	782	410	27	1488	0
4.62	2707	782	410	27	1488	0
4.63	2707	782	410	27	1488	0
4.64	2707	782	410	27	1488	0
4.65	2707	782	410	27	1488	0
4.66	2707	782	410	27	1488	0
4.67	2707	782	410	27	1488	0
4.68	2707	782	410	27	1488	0
4.69	2707	782	410	27	1488	0
4.7	2707	782	410	27	1488	0
4.71	2707	782	410	27	1488	0
4.72	2707	782	410	27	1488	0
4.73	2707	782	410	27	1488	0
4.74	2707	782	410	27	1488	0
4.75	2707	782	410	27	1488	0
4.76	2707	782	410	27	1488	0
4.77	2707	782	410	27	1488	0
4.78	2707	782	410	27	1488	0
4.79	2707	782	410	27	1488	0
4.8	2707	782	410	27	1488	0
4.81	2707	782	410	27	1488	0
4.82	2707	782	410	27	1488	0
4.83	2707	782	410	27	1488	0
4.84	2707	782	410	27	1488	0
4.85	2707	782	410	27	1488	0
4.86	2707	782	410	27	1488	0
4.87	2707	782	410	27	1488	0
4.88	2707	782	410	27	1488	0
4.89	2707	782	410	27	1488	0
4.9	2707	782	410	27	1488	0
4.91	2707	782	410	27	1488	0
4.92	2707	782	410	27	1488	0
4.93	2707	782	410	27	1488	0
4.94	2707	782	410	27	1488	0
4.95	2707	782	410	27	1488	0
4.96	2707	782	410	27	1488	0
4.97	2707	782	410	27	1488	0
4.98	2707	782	410	27	1488	0
4.99	2707	782	410	27	1488	0
5	2707	782	410	27	1488	0
5.01	2707	782	410	27	1488	0
5.02	2707	782	410	27	1488	0
5.03	2707	782	410	27	1488	0
5.04	2707	782	410	27	1488	0
5.05	2707	782	410	27	1488	0
5.06	2707	782	410	27	1488	0
5.07	2707	782	410	27	1488	0
5.08	2707	782	410	27	1488	0
5.09	2707	782	410	27	1488	0
5.1	2707	782	410	27	1488	0
5.11	2707	782	410	27	1488	0
5.12	2707	782	410	27	1488	0
5.13	2707	782	410	27	1488	0
5.14	2707	782	410	27	1488	0
5.15	2707	782	410	27	1488	0
5.16	2707	782	410	27	1488	0
5.17	2707	782	410	27	1488	0
5.18	2707	782	410	27	1488	0
5.19	2707	782	410	27	1488	0
5.2	2707	782	410	27	1488	0
5.21	2707	782	410	27	1488	0
5.22	2707	782	410	27	1488	0
5.23	2707	782	410	27	1488	0
5.24	2707	782	410	27	1488	0
5.25	2707	782	410	27	1488	0
5.26	2704	782	410	27	1485	0
5.27	2677	780	407	27	1463	3.45845952088873e-323
5.28	2646	780	401	27	1438	2.3764557564964e-321
5.29	2612	780	390	27	1415	2.51973479379036e-321
5.3	2582	778	388	27	1389	2.59223349259546e-317
5.31	2545	775	385	27	1358	1.79560447923567e-312
5.32	2513	775	382	27	1329	7.31698757043387e-309
5.33	2482	775	375	27	1305	3.0279039851428e-307
5.34	2467	775	371	27	1294	9.61082217150762e-307
5.35	2441	773	366	27	1275	1.28115046348506e-304
5.36	2419	770	360	27	1262	1.80142425897589e-303
5.37	2394	769	350	27	1248	4.23347867219889e-304
5.38	2366	765	349	27	1225	2.46048712512682e-299
5.39	2354	764	347	27	1216	3.85715967191738e-298
