eQTL_thres	Num_all	Num_add_cis	Num_add_trans	Num_dom_cis	Num_dom_trans	Fisher_pvalue
3.5	7704	726	1234	40	5704	0
3.51	7704	726	1234	40	5704	0
3.52	7704	726	1234	40	5704	0
3.53	7704	726	1234	40	5704	0
3.54	7704	726	1234	40	5704	0
3.55	7704	726	1234	40	5704	0
3.56	7704	726	1234	40	5704	0
3.57	7704	726	1234	40	5704	0
3.58	7704	726	1234	40	5704	0
3.59	7704	726	1234	40	5704	0
3.6	7704	726	1234	40	5704	0
3.61	7704	726	1234	40	5704	0
3.62	7704	726	1234	40	5704	0
3.63	7704	726	1234	40	5704	0
3.64	7704	726	1234	40	5704	0
3.65	7704	726	1234	40	5704	0
3.66	7704	726	1234	40	5704	0
3.67	7704	726	1234	40	5704	0
3.68	7704	726	1234	40	5704	0
3.69	7704	726	1234	40	5704	0
3.7	7704	726	1234	40	5704	0
3.71	7704	726	1234	40	5704	0
3.72	7704	726	1234	40	5704	0
3.73	7704	726	1234	40	5704	0
3.74	7704	726	1234	40	5704	0
3.75	7704	726	1234	40	5704	0
3.76	7704	726	1234	40	5704	0
3.77	7704	726	1234	40	5704	0
3.78	7704	726	1234	40	5704	0
3.79	7704	726	1234	40	5704	0
3.8	7704	726	1234	40	5704	0
3.81	7704	726	1234	40	5704	0
3.82	7704	726	1234	40	5704	0
3.83	7704	726	1234	40	5704	0
3.84	7704	726	1234	40	5704	0
3.85	7704	726	1234	40	5704	0
3.86	7704	726	1234	40	5704	0
3.87	7704	726	1234	40	5704	0
3.88	7704	726	1234	40	5704	0
3.89	7704	726	1234	40	5704	0
3.9	7704	726	1234	40	5704	0
3.91	7704	726	1234	40	5704	0
3.92	7704	726	1234	40	5704	0
3.93	7704	726	1234	40	5704	0
3.94	7704	726	1234	40	5704	0
3.95	7704	726	1234	40	5704	0
3.96	7704	726	1234	40	5704	0
3.97	7704	726	1234	40	5704	0
3.98	7704	726	1234	40	5704	0
3.99	7704	726	1234	40	5704	0
4	7704	726	1234	40	5704	0
4.01	7704	726	1234	40	5704	0
4.02	7704	726	1234	40	5704	0
4.03	7704	726	1234	40	5704	0
4.04	7704	726	1234	40	5704	0
4.05	7704	726	1234	40	5704	0
4.06	7704	726	1234	40	5704	0
4.07	7704	726	1234	40	5704	0
4.08	7704	726	1234	40	5704	0
4.09	7704	726	1234	40	5704	0
4.1	7704	726	1234	40	5704	0
4.11	7704	726	1234	40	5704	0
4.12	7704	726	1234	40	5704	0
4.13	7704	726	1234	40	5704	0
4.14	7704	726	1234	40	5704	0
4.15	7704	726	1234	40	5704	0
4.16	7704	726	1234	40	5704	0
4.17	7704	726	1234	40	5704	0
4.18	7704	726	1234	40	5704	0
4.19	7704	726	1234	40	5704	0
4.2	7704	726	1234	40	5704	0
4.21	7704	726	1234	40	5704	0
4.22	7704	726	1234	40	5704	0
4.23	7704	726	1234	40	5704	0
4.24	7704	726	1234	40	5704	0
4.25	7704	726	1234	40	5704	0
4.26	7704	726	1234	40	5704	0
4.27	7704	726	1234	40	5704	0
4.28	7704	726	1234	40	5704	0
4.29	7704	726	1234	40	5704	0
4.3	7704	726	1234	40	5704	0
4.31	7704	726	1234	40	5704	0
4.32	7704	726	1234	40	5704	0
4.33	7704	726	1234	40	5704	0
4.34	7704	726	1234	40	5704	0
4.35	7704	726	1234	40	5704	0
4.36	7704	726	1234	40	5704	0
4.37	7704	726	1234	40	5704	0
4.38	7704	726	1234	40	5704	0
4.39	7704	726	1234	40	5704	0
4.4	7704	726	1234	40	5704	0
4.41	7704	726	1234	40	5704	0
4.42	7704	726	1234	40	5704	0
4.43	7704	726	1234	40	5704	0
4.44	7704	726	1234	40	5704	0
4.45	7704	726	1234	40	5704	0
4.46	7704	726	1234	40	5704	0
4.47	7704	726	1234	40	5704	0
4.48	7704	726	1234	40	5704	0
4.49	7704	726	1234	40	5704	0
4.5	7704	726	1234	40	5704	0
4.51	7704	726	1234	40	5704	0
4.52	7704	726	1234	40	5704	0
4.53	7704	726	1234	40	5704	0
4.54	7704	726	1234	40	5704	0
4.55	7704	726	1234	40	5704	0
4.56	7704	726	1234	40	5704	0
4.57	7704	726	1234	40	5704	0
4.58	7704	726	1234	40	5704	0
4.59	7704	726	1234	40	5704	0
4.6	7704	726	1234	40	5704	0
4.61	7704	726	1234	40	5704	0
4.62	7704	726	1234	40	5704	0
4.63	7704	726	1234	40	5704	0
4.64	7704	726	1234	40	5704	0
4.65	7704	726	1234	40	5704	0
4.66	7704	726	1234	40	5704	0
4.67	7704	726	1234	40	5704	0
4.68	7694	726	1232	40	5696	0
4.69	7694	726	1232	40	5696	0
4.7	7461	722	1188	40	5511	0
4.71	7341	719	1166	40	5416	0
4.72	7246	717	1152	39	5338	0
4.73	7136	715	1127	39	5255	0
4.74	7041	713	1103	39	5186	0
4.75	6940	712	1083	38	5107	0
4.76	6868	711	1072	37	5048	0
4.77	6764	708	1055	37	4964	0
4.78	6657	705	1041	36	4875	0
4.79	6552	700	1027	35	4790	0
4.8	6460	697	1011	35	4717	0
4.81	6353	696	994	35	4628	0
4.82	6259	696	975	34	4554	0
4.83	6160	695	954	33	4478	0
4.84	6076	693	940	33	4410	0
4.85	5987	692	921	33	4341	0
4.86	5907	690	903	32	4282	0
4.87	5822	688	891	32	4211	0
