eQTL_thres	Num_all	Num_add_cis	Num_add_trans	Num_dom_cis	Num_dom_trans	Fisher_pvalue
3.5	12571	1313	2344	73	8841	0
3.51	12571	1313	2344	73	8841	0
3.52	12571	1313	2344	73	8841	0
3.53	12571	1313	2344	73	8841	0
3.54	12571	1313	2344	73	8841	0
3.55	12571	1313	2344	73	8841	0
3.56	12571	1313	2344	73	8841	0
3.57	12571	1313	2344	73	8841	0
3.58	12571	1313	2344	73	8841	0
3.59	12571	1313	2344	73	8841	0
3.6	12571	1313	2344	73	8841	0
3.61	12571	1313	2344	73	8841	0
3.62	12571	1313	2344	73	8841	0
3.63	12571	1313	2344	73	8841	0
3.64	12571	1313	2344	73	8841	0
3.65	12571	1313	2344	73	8841	0
3.66	12571	1313	2344	73	8841	0
3.67	12571	1313	2344	73	8841	0
3.68	12571	1313	2344	73	8841	0
3.69	12571	1313	2344	73	8841	0
3.7	12571	1313	2344	73	8841	0
3.71	12571	1313	2344	73	8841	0
3.72	12571	1313	2344	73	8841	0
3.73	12571	1313	2344	73	8841	0
3.74	12571	1313	2344	73	8841	0
3.75	12571	1313	2344	73	8841	0
3.76	12571	1313	2344	73	8841	0
3.77	12571	1313	2344	73	8841	0
3.78	12571	1313	2344	73	8841	0
3.79	12571	1313	2344	73	8841	0
3.8	12571	1313	2344	73	8841	0
3.81	12571	1313	2344	73	8841	0
3.82	12571	1313	2344	73	8841	0
3.83	12571	1313	2344	73	8841	0
3.84	12571	1313	2344	73	8841	0
3.85	12571	1313	2344	73	8841	0
3.86	12571	1313	2344	73	8841	0
3.87	12571	1313	2344	73	8841	0
3.88	12571	1313	2344	73	8841	0
3.89	12571	1313	2344	73	8841	0
3.9	12571	1313	2344	73	8841	0
3.91	12571	1313	2344	73	8841	0
3.92	12571	1313	2344	73	8841	0
3.93	12571	1313	2344	73	8841	0
3.94	12571	1313	2344	73	8841	0
3.95	12571	1313	2344	73	8841	0
3.96	12571	1313	2344	73	8841	0
3.97	12571	1313	2344	73	8841	0
3.98	12571	1313	2344	73	8841	0
3.99	12571	1313	2344	73	8841	0
4	12571	1313	2344	73	8841	0
4.01	12571	1313	2344	73	8841	0
4.02	12571	1313	2344	73	8841	0
4.03	12571	1313	2344	73	8841	0
4.04	12571	1313	2344	73	8841	0
4.05	12571	1313	2344	73	8841	0
4.06	12571	1313	2344	73	8841	0
4.07	12571	1313	2344	73	8841	0
4.08	12571	1313	2344	73	8841	0
4.09	12571	1313	2344	73	8841	0
4.1	12571	1313	2344	73	8841	0
4.11	12571	1313	2344	73	8841	0
4.12	12571	1313	2344	73	8841	0
4.13	12571	1313	2344	73	8841	0
4.14	12571	1313	2344	73	8841	0
4.15	12571	1313	2344	73	8841	0
4.16	12571	1313	2344	73	8841	0
4.17	12571	1313	2344	73	8841	0
4.18	12571	1313	2344	73	8841	0
4.19	12571	1313	2344	73	8841	0
4.2	12571	1313	2344	73	8841	0
4.21	12571	1313	2344	73	8841	0
4.22	12571	1313	2344	73	8841	0
4.23	12571	1313	2344	73	8841	0
4.24	12571	1313	2344	73	8841	0
4.25	12571	1313	2344	73	8841	0
4.26	12571	1313	2344	73	8841	0
4.27	12571	1313	2344	73	8841	0
4.28	12571	1313	2344	73	8841	0
4.29	12571	1313	2344	73	8841	0
4.3	12571	1313	2344	73	8841	0
4.31	12571	1313	2344	73	8841	0
4.32	12571	1313	2344	73	8841	0
4.33	12571	1313	2344	73	8841	0
4.34	12571	1313	2344	73	8841	0
4.35	12571	1313	2344	73	8841	0
4.36	12571	1313	2344	73	8841	0
4.37	12571	1313	2344	73	8841	0
4.38	12571	1313	2344	73	8841	0
4.39	12571	1313	2344	73	8841	0
4.4	12571	1313	2344	73	8841	0
4.41	12571	1313	2344	73	8841	0
4.42	12571	1313	2344	73	8841	0
4.43	12571	1313	2344	73	8841	0
4.44	12571	1313	2344	73	8841	0
4.45	12571	1313	2344	73	8841	0
4.46	12571	1313	2344	73	8841	0
4.47	12571	1313	2344	73	8841	0
4.48	12571	1313	2344	73	8841	0
4.49	12571	1313	2344	73	8841	0
4.5	12571	1313	2344	73	8841	0
4.51	12571	1313	2344	73	8841	0
4.52	12571	1313	2344	73	8841	0
4.53	12571	1313	2344	73	8841	0
4.54	12571	1313	2344	73	8841	0
4.55	12571	1313	2344	73	8841	0
4.56	12571	1313	2344	73	8841	0
4.57	12571	1313	2344	73	8841	0
4.58	12571	1313	2344	73	8841	0
4.59	12571	1313	2344	73	8841	0
4.6	12571	1313	2344	73	8841	0
4.61	12571	1313	2344	73	8841	0
4.62	12571	1313	2344	73	8841	0
4.63	12571	1313	2344	73	8841	0
4.64	12571	1313	2344	73	8841	0
4.65	12571	1313	2344	73	8841	0
4.66	12571	1313	2344	73	8841	0
4.67	12571	1313	2344	73	8841	0
4.68	12571	1313	2344	73	8841	0
4.69	12571	1313	2344	73	8841	0
4.7	12445	1311	2309	73	8752	0
4.71	12287	1309	2267	72	8639	0
4.72	12137	1308	2234	72	8523	0
4.73	11996	1303	2202	71	8420	0
4.74	11850	1299	2161	71	8319	0
4.75	11680	1296	2116	71	8197	0
4.76	11548	1295	2084	71	8098	0
4.77	11407	1291	2051	71	7994	0
4.78	11289	1288	2015	70	7916	0
4.79	11153	1285	1985	70	7813	0
4.8	11020	1280	1950	68	7722	0
4.81	10878	1279	1909	68	7622	0
4.82	10755	1277	1876	68	7534	0
4.83	10626	1275	1843	68	7440	0
4.84	10506	1270	1822	67	7347	0
4.85	10377	1269	1789	67	7252	0
4.86	10264	1269	1763	67	7165	0
4.87	10137	1267	1736	67	7067	0
4.88	10016	1262	1714	67	6973	0
4.89	9905	1259	1693	67	6886	0
4.9	9791	1254	1678	66	6793	0
4.91	9696	1252	1666	66	6712	0
4.92	9571	1252	1647	66	6606	0
4.93	9464	1251	1631	66	6516	0
4.94	9464	1251	1631	66	6516	0
4.95	9246	1246	1581	64	6355	0
4.96	9152	1244	1558	63	6287	0
4.97	9037	1243	1540	63	6191	0
4.98	8934	1234	1521	62	6117	0
4.99	8822	1233	1497	62	6030	0
5	8718	1228	1474	62	5954	0
5.01	8614	1224	1452	62	5876	0
5.02	8519	1221	1429	60	5809	0
5.03	8401	1216	1403	59	5723	0
5.04	8325	1213	1392	59	5661	0
5.05	8247	1210	1377	59	5601	0
5.06	8157	1208	1357	59	5533	0
5.07	8073	1206	1335	59	5473	0
5.08	7989	1201	1317	59	5412	0
5.09	7906	1199	1296	59	5352	0
5.1	7819	1197	1280	58	5284	0
5.11	7735	1195	1265	57	5218	0
5.12	7663	1193	1255	56	5159	0
5.13	7592	1191	1242	54	5105	0
5.14	7514	1187	1223	54	5050	0
5.15	7437	1181	1213	54	4989	0
5.16	7363	1178	1198	54	4933	0
5.17	7271	1175	1171	54	4871	0
5.18	7184	1172	1156	53	4803	0
5.19	7184	1172	1156	53	4803	0
5.2	7032	1167	1131	53	4681	0
5.21	6954	1164	1120	53	4617	0
5.22	6895	1162	1105	53	4575	0
5.23	6813	1157	1095	51	4510	0
5.24	6735	1154	1083	51	4447	0
5.25	6657	1151	1072	51	4383	0
5.26	6595	1149	1055	51	4340	0
5.27	6523	1146	1040	51	4286	0
5.28	6450	1137	1033	51	4229	0
5.29	6386	1135	1022	50	4179	0
5.3	6314	1134	1014	50	4116	0
5.31	6252	1133	1004	50	4065	0
5.32	6189	1131	993	49	4016	0
5.33	6121	1125	984	49	3963	0
5.34	6060	1123	973	49	3915	0
5.35	6002	1121	961	49	3871	0
5.36	5940	1116	947	49	3828	0
5.37	5881	1111	933	49	3788	0
5.38	5818	1105	919	49	3745	0
5.39	5753	1103	909	49	3692	0
5.4	5698	1101	895	48	3654	0
5.41	5638	1099	878	48	3613	0
5.42	5569	1096	866	47	3560	0
5.43	5513	1093	850	47	3523	0
5.44	5513	1093	850	47	3523	0
5.45	5408	1090	832	47	3439	0
5.46	5360	1089	826	46	3399	0
5.47	5300	1085	816	46	3353	0
5.48	5253	1083	806	46	3318	0
5.49	5202	1080	797	46	3279	0
5.5	5147	1080	786	46	3235	0
5.51	5099	1079	778	46	3196	0
5.52	5038	1076	770	45	3147	0
5.53	4991	1075	763	45	3108	0
5.54	4942	1074	757	44	3067	0
5.55	4894	1071	749	44	3030	0
5.56	4845	1069	743	43	2990	0
5.57	4796	1067	736	41	2952	0
5.58	4749	1067	727	41	2914	0
5.59	4711	1067	723	40	2881	0
5.6	4666	1066	719	40	2841	0
5.61	4666	1066	719	40	2841	0
5.62	4573	1061	699	40	2773	0
5.63	4537	1060	689	40	2748	0
5.64	4497	1058	686	40	2713	0
5.65	4450	1055	683	40	2672	0
5.66	4402	1052	676	40	2634	0
5.67	4354	1047	666	40	2601	0
5.68	4317	1044	658	40	2575	0
5.69	4317	1044	658	40	2575	0
5.7	4235	1038	631	40	2526	0
5.71	4203	1036	625	40	2502	0
5.72	4164	1034	616	40	2474	0
5.73	4127	1032	613	40	2442	0
5.74	4094	1031	608	40	2415	0
5.75	4062	1029	604	40	2389	0
5.76	4031	1028	597	39	2367	0
5.77	3995	1026	592	39	2338	0
5.78	3960	1026	585	39	2310	0
5.79	3926	1023	580	39	2284	0
5.8	3882	1020	569	39	2254	0
5.81	3847	1020	564	39	2224	0
