eQTL_thres	Num_all	Num_add_cis	Num_add_trans	Num_dom_cis	Num_dom_trans	Fisher_pvalue
3.5	14533	2884	3261	113	8275	0
3.51	14533	2884	3261	113	8275	0
3.52	14533	2884	3261	113	8275	0
3.53	14533	2884	3261	113	8275	0
3.54	14533	2884	3261	113	8275	0
3.55	14533	2884	3261	113	8275	0
3.56	14533	2884	3261	113	8275	0
3.57	14533	2884	3261	113	8275	0
3.58	14533	2884	3261	113	8275	0
3.59	14533	2884	3261	113	8275	0
3.6	14533	2884	3261	113	8275	0
3.61	14533	2884	3261	113	8275	0
3.62	14533	2884	3261	113	8275	0
3.63	14533	2884	3261	113	8275	0
3.64	14533	2884	3261	113	8275	0
3.65	14533	2884	3261	113	8275	0
3.66	14533	2884	3261	113	8275	0
3.67	14533	2884	3261	113	8275	0
3.68	14533	2884	3261	113	8275	0
3.69	14533	2884	3261	113	8275	0
3.7	14533	2884	3261	113	8275	0
3.71	14533	2884	3261	113	8275	0
3.72	14533	2884	3261	113	8275	0
3.73	14533	2884	3261	113	8275	0
3.74	14533	2884	3261	113	8275	0
3.75	14533	2884	3261	113	8275	0
3.76	14533	2884	3261	113	8275	0
3.77	14533	2884	3261	113	8275	0
3.78	14533	2884	3261	113	8275	0
3.79	14533	2884	3261	113	8275	0
3.8	14533	2884	3261	113	8275	0
3.81	14533	2884	3261	113	8275	0
3.82	14533	2884	3261	113	8275	0
3.83	14533	2884	3261	113	8275	0
3.84	14520	2883	3257	113	8267	0
3.85	14273	2877	3184	112	8100	0
3.86	14005	2874	3131	111	7889	0
3.87	13739	2868	3056	111	7704	0
3.88	13514	2866	3003	109	7536	0
3.89	13310	2860	2958	106	7386	0
3.9	13089	2858	2894	106	7231	0
3.91	12879	2852	2844	106	7077	0
3.92	12703	2848	2794	106	6955	0
3.93	12498	2844	2741	105	6808	0
3.94	12271	2839	2696	105	6631	0
3.95	12080	2832	2643	104	6501	0
3.96	11898	2830	2599	104	6365	0
3.97	11696	2827	2539	104	6226	0
3.98	11508	2824	2489	103	6092	0
3.99	11355	2819	2463	102	5971	0
4	11171	2816	2411	100	5844	0
4.01	11010	2815	2374	99	5722	0
4.02	10831	2812	2332	98	5589	0
4.03	10673	2809	2290	97	5477	0
4.04	10498	2807	2249	96	5346	0
4.05	10323	2799	2196	96	5232	0
4.06	10166	2795	2162	94	5115	0
4.07	10018	2788	2120	94	5016	0
4.08	9892	2781	2088	94	4929	0
4.09	9744	2778	2045	94	4827	0
4.1	9621	2776	2017	93	4735	0
4.11	9487	2775	1987	93	4632	0
4.12	9346	2771	1950	89	4536	0
4.13	9214	2766	1921	88	4439	0
4.14	9081	2761	1894	88	4338	0
4.15	8948	2754	1861	86	4247	0
4.16	8819	2750	1835	85	4149	0
4.17	8685	2747	1800	85	4053	0
4.18	8578	2741	1767	84	3986	0
4.19	8446	2736	1738	81	3891	0
4.2	8317	2733	1706	79	3799	0
4.21	8184	2723	1674	77	3710	0
4.22	8065	2720	1638	76	3631	0
4.23	7964	2713	1610	76	3565	0
4.24	7865	2711	1586	76	3492	0
4.25	7746	2708	1561	75	3402	0
4.26	7638	2707	1535	75	3321	0
4.27	7534	2702	1507	74	3251	0
4.28	7429	2698	1488	71	3172	0
4.29	7331	2695	1457	71	3108	0
4.3	7224	2690	1425	71	3038	0
4.31	7138	2689	1401	71	2977	0
4.32	7053	2684	1380	71	2918	0
4.33	6956	2681	1352	71	2852	0
4.34	6880	2680	1339	68	2793	0
4.35	6790	2677	1314	68	2731	0
4.36	6704	2673	1289	68	2674	0
4.37	6619	2666	1266	68	2619	0
4.38	6535	2663	1246	68	2558	0
4.39	6456	2660	1231	67	2498	0
4.4	6366	2657	1211	65	2433	0
4.41	6301	2657	1194	65	2385	0
4.42	6223	2653	1182	64	2324	0
4.43	6158	2649	1167	63	2279	0
4.44	6077	2647	1150	63	2217	0
4.45	6002	2644	1130	63	2165	0
4.46	5936	2641	1110	63	2122	0
4.47	5862	2635	1092	63	2072	0
4.48	5798	2629	1073	62	2034	0
4.49	5722	2623	1054	61	1984	0
4.5	5657	2620	1033	59	1945	0
4.51	5585	2618	1015	58	1894	0
4.52	5533	2617	1003	58	1855	0
4.53	5477	2613	989	58	1817	0
4.54	5414	2610	974	57	1773	0
4.55	5354	2605	955	57	1737	0
4.56	5297	2598	939	57	1703	0
4.57	5234	2595	919	56	1664	0
4.58	5172	2593	904	54	1621	0
4.59	5117	2590	892	54	1581	0
4.6	5073	2589	875	54	1555	0
4.61	5012	2586	860	54	1512	0
4.62	4964	2582	850	54	1478	0
4.63	4898	2576	834	54	1434	0
4.64	4859	2573	824	54	1408	0
4.65	4814	2572	817	54	1371	0
4.66	4762	2571	812	51	1328	0
4.67	4722	2568	807	51	1296	0
4.68	4675	2562	794	51	1268	0
4.69	4675	2562	794	51	1268	0
4.7	4579	2552	765	50	1212	0
4.71	4545	2549	754	50	1192	0
4.72	4501	2545	742	50	1164	0
4.73	4472	2544	738	50	1140	0
4.74	4443	2544	732	49	1118	0
4.75	4405	2537	725	49	1094	0
4.76	4365	2533	715	47	1070	0
4.77	4331	2533	708	47	1043	0
4.78	4300	2531	702	47	1020	0
4.79	4272	2530	696	47	999	0
4.8	4241	2527	690	47	977	0
4.81	4213	2524	685	47	957	0
4.82	4180	2522	681	46	931	0
4.83	4153	2518	673	46	916	0
4.84	4126	2515	664	46	901	0
4.85	4092	2513	657	45	877	0
4.86	4066	2511	651	44	860	0
4.87	4036	2510	639	44	843	0
4.88	4009	2506	631	44	828	0
4.89	3976	2504	618	44	810	0
4.9	3943	2500	611	43	789	0
4.91	3915	2497	604	43	771	0
4.92	3884	2493	598	43	750	0
4.93	3860	2491	594	42	733	0
4.94	3860	2491	594	42	733	0
4.95	3799	2482	580	41	696	0
4.96	3777	2478	575	41	683	0
4.97	3747	2475	566	40	666	0
4.98	3719	2470	559	40	650	0
4.99	3694	2467	553	40	634	9.67983294645087e-319
5	3681	2465	550	40	626	1.42875080822806e-315
5.01	3658	2458	543	40	617	1.72453268758344e-312
5.02	3637	2455	540	40	602	6.9667049183366e-306
5.03	3616	2452	536	40	588	6.17693019904779e-300
5.04	3603	2451	533	40	579	2.97341198111662e-296
5.05	3578	2447	527	39	565	1.25488868943668e-291
5.06	3551	2444	518	39	550	3.41008602746648e-286
5.07	3533	2442	512	38	541	4.88531046907915e-284
5.08	3516	2442	507	38	529	3.13138131513494e-279
5.09	3495	2437	502	38	518	1.58478676920368e-274
5.1	3473	2430	499	38	506	1.115318305714e-268
5.11	3453	2428	493	38	494	8.24736235292588e-264
5.12	3430	2424	487	38	481	3.1015218876067e-258
5.13	3403	2419	485	37	462	1.7303723347839e-249
5.14	3385	2416	481	37	451	2.0109197406035e-244
5.15	3366	2412	477	37	440	2.99017651316939e-239
5.16	3351	2410	472	37	432	5.76340987113336e-236
5.17	3336	2408	468	37	423	6.74877878382881e-232
5.18	3325	2405	465	37	418	1.11415743308228e-229
5.19	3325	2405	465	37	418	1.11415743308228e-229
5.2	3286	2398	457	35	396	6.3211323446793e-221
5.21	3270	2394	454	35	387	2.21545041566466e-216
5.22	3255	2387	452	35	381	4.19321349917214e-213
5.23	3234	2384	450	35	365	1.86469377179662e-204
5.24	3217	2382	445	35	355	9.65292834629794e-200
5.25	3204	2380	441	35	348	1.77065836936333e-196
5.26	3188	2380	437	35	336	1.9971631601575e-190
5.27	3178	2377	433	35	333	2.43345372458227e-189
5.28	3165	2377	428	34	326	3.61710790085127e-187
5.29	3149	2376	424	33	316	5.77401968630013e-183
5.3	3137	2374	421	33	309	2.47081111685061e-179
5.31	3124	2371	420	33	300	4.47436334976453e-174
5.32	3111	2368	413	33	297	1.82355681952756e-173
5.33	3099	2365	410	33	291	2.59672056361117e-170
5.34	3082	2360	406	32	284	1.64798611187082e-167
5.35	3071	2356	403	32	280	1.78080130741245e-165
5.36	3063	2355	400	32	276	1.49008470574637e-163
5.37	3050	2352	399	32	267	3.99998158831574e-158
5.38	3039	2349	398	32	260	6.77313899975329e-154
5.39	3024	2347	396	31	250	7.59046985232414e-149
5.4	3016	2346	395	31	244	2.96368795166261e-145
5.41	3007	2342	395	31	239	5.31861205080771e-142
5.42	2993	2338	393	31	231	3.42904091791595e-137
5.43	2987	2337	391	30	229	4.77169251928331e-137
5.44	2987	2337	391	30	229	4.77169251928331e-137
5.45	2962	2330	385	30	217	3.53815131714642e-130
5.46	2951	2329	381	30	211	6.1109994941109e-127
5.47	2945	2328	378	30	209	4.3314463180353e-126
5.48	2938	2326	376	30	206	2.09063788200924e-124
5.49	2925	2324	375	30	196	4.87153550961793e-118
5.5	2915	2324	372	30	189	6.26348736152764e-114
5.51	2907	2322	370	30	185	1.50256610168625e-111
5.52	2898	2319	370	29	180	5.97945016820216e-109
5.53	2886	2316	364	28	178	3.73106552934025e-109
5.54	2882	2315	363	28	176	6.0977467697629e-108
5.55	2874	2312	362	28	172	2.42276969815014e-105
5.56	2867	2310	359	28	170	2.27803183062424e-104
