eQTL_thres	Num_all	Num_add_cis	Num_add_trans	Num_dom_cis	Num_dom_trans	Fisher_pvalue
3.5	10086	839	2604	51	6592	0
3.51	10086	839	2604	51	6592	0
3.52	10086	839	2604	51	6592	0
3.53	10086	839	2604	51	6592	0
3.54	10086	839	2604	51	6592	0
3.55	10086	839	2604	51	6592	0
3.56	10086	839	2604	51	6592	0
3.57	10086	839	2604	51	6592	0
3.58	10086	839	2604	51	6592	0
3.59	10086	839	2604	51	6592	0
3.6	10086	839	2604	51	6592	0
3.61	10086	839	2604	51	6592	0
3.62	10086	839	2604	51	6592	0
3.63	10086	839	2604	51	6592	0
3.64	10086	839	2604	51	6592	0
3.65	10086	839	2604	51	6592	0
3.66	10086	839	2604	51	6592	0
3.67	10086	839	2604	51	6592	0
3.68	10086	839	2604	51	6592	0
3.69	10086	839	2604	51	6592	0
3.7	10086	839	2604	51	6592	0
3.71	10086	839	2604	51	6592	0
3.72	10086	839	2604	51	6592	0
3.73	10086	839	2604	51	6592	0
3.74	10086	839	2604	51	6592	0
3.75	10086	839	2604	51	6592	0
3.76	10086	839	2604	51	6592	0
3.77	10086	839	2604	51	6592	0
3.78	10073	839	2600	51	6583	0
3.79	9853	836	2536	51	6430	0
3.8	9655	836	2495	51	6273	0
3.81	9445	835	2432	51	6127	0
3.82	9245	833	2383	50	5979	0
3.83	9058	831	2329	50	5848	0
3.84	8876	830	2276	49	5721	0
3.85	8688	828	2215	48	5597	0
3.86	8515	825	2170	48	5472	0
3.87	8331	821	2111	48	5351	0
3.88	8161	817	2058	47	5239	0
3.89	8000	813	2008	46	5133	0
3.9	7836	813	1976	46	5001	0
3.91	7674	812	1923	45	4894	0
3.92	7521	811	1882	45	4783	0
3.93	7359	809	1832	44	4674	0
3.94	7215	809	1788	44	4574	0
3.95	7067	807	1749	44	4467	0
3.96	6948	804	1710	43	4391	0
3.97	6817	799	1677	42	4299	0
3.98	6674	799	1637	42	4196	0
3.99	6547	798	1604	41	4104	0
4	6418	794	1576	41	4007	1.48219693752374e-323
4.01	6305	792	1555	41	3917	4.38186821296602e-320
4.02	6163	789	1515	40	3819	4.70469070595869e-319
4.03	6044	786	1487	40	3731	4.9557718039682e-316
4.04	5918	784	1462	39	3633	1.68042710237809e-313
4.05	5795	784	1427	39	3545	2.05487095192817e-312
4.06	5672	781	1401	37	3453	5.92779788173418e-311
4.07	5572	779	1368	37	3388	3.45409307615178e-310
4.08	5474	778	1335	37	3324	6.90459811883316e-310
4.09	5366	777	1303	37	3249	9.89379269331428e-309
