eQTL_thres	Num_all	Num_add_cis	Num_add_trans	Num_dom_cis	Num_dom_trans	Fisher_pvalue
3.5	11048	1496	2648	78	6826	0
3.51	11048	1496	2648	78	6826	0
3.52	11048	1496	2648	78	6826	0
3.53	11048	1496	2648	78	6826	0
3.54	11048	1496	2648	78	6826	0
3.55	11048	1496	2648	78	6826	0
3.56	11048	1496	2648	78	6826	0
3.57	11048	1496	2648	78	6826	0
3.58	11048	1496	2648	78	6826	0
3.59	11048	1496	2648	78	6826	0
3.6	11048	1496	2648	78	6826	0
3.61	11048	1496	2648	78	6826	0
3.62	11048	1496	2648	78	6826	0
3.63	11048	1496	2648	78	6826	0
3.64	11048	1496	2648	78	6826	0
3.65	11048	1496	2648	78	6826	0
3.66	11048	1496	2648	78	6826	0
3.67	11048	1496	2648	78	6826	0
3.68	11048	1496	2648	78	6826	0
3.69	11048	1496	2648	78	6826	0
3.7	11048	1496	2648	78	6826	0
3.71	11048	1496	2648	78	6826	0
3.72	11048	1496	2648	78	6826	0
3.73	11048	1496	2648	78	6826	0
3.74	11048	1496	2648	78	6826	0
3.75	11048	1496	2648	78	6826	0
3.76	10933	1493	2612	78	6750	0
3.77	10740	1490	2565	78	6607	0
3.78	10521	1487	2516	78	6440	0
3.79	10334	1484	2459	75	6316	0
3.8	10140	1482	2405	75	6178	0
3.81	9937	1478	2349	74	6036	0
3.82	9770	1476	2305	74	5915	0
3.83	9583	1474	2254	74	5781	0
3.84	9419	1471	2218	74	5656	0
3.85	9235	1468	2180	73	5514	0
3.86	9061	1462	2141	73	5385	0
3.87	8896	1458	2100	73	5265	0
3.88	8741	1456	2064	72	5149	0
3.89	8593	1455	2020	72	5046	0
3.9	8440	1452	1986	71	4931	0
3.91	8272	1451	1945	69	4807	0
3.92	8102	1446	1905	68	4683	0
3.93	7976	1442	1872	68	4594	0
3.94	7836	1441	1839	67	4489	0
3.95	7700	1438	1806	66	4390	0
3.96	7561	1434	1766	65	4296	0
3.97	7412	1431	1736	65	4180	0
3.98	7279	1428	1705	65	4081	0
3.99	7159	1426	1669	64	4000	0
4	7020	1424	1630	63	3903	0
4.01	6901	1421	1597	63	3820	0
4.02	6772	1419	1569	63	3721	0
4.03	6648	1412	1535	62	3639	0
4.04	6541	1406	1512	61	3562	0
4.05	6444	1403	1488	61	3492	0
4.06	6341	1403	1467	60	3411	0
4.07	6234	1400	1439	60	3335	0
4.08	6123	1398	1403	59	3263	0
4.09	6022	1397	1374	58	3193	0
4.1	5929	1395	1357	58	3119	0
4.11	5827	1395	1335	58	3039	0
4.12	5716	1393	1307	57	2959	0
4.13	5623	1389	1279	56	2899	0
4.14	5522	1386	1247	56	2833	0
4.15	5425	1386	1223	56	2760	0
4.16	5332	1379	1198	56	2699	0
4.17	5236	1379	1168	56	2633	0
4.18	5139	1375	1136	54	2574	0
4.19	5061	1373	1116	54	2518	0
4.2	4982	1368	1093	54	2467	0
4.21	4887	1363	1075	53	2396	0
4.22	4791	1359	1054	52	2326	0
4.23	4705	1356	1036	51	2262	0
4.24	4623	1350	1015	50	2208	0
4.25	4552	1345	993	50	2164	0
4.26	4489	1342	978	50	2119	0
4.27	4420	1342	960	50	2068	0
4.28	4359	1337	947	50	2025	0
4.29	4288	1334	920	49	1985	0
4.3	4215	1332	902	49	1932	0
4.31	4150	1331	881	48	1890	0
4.32	4074	1329	862	47	1836	0
4.33	4020	1327	849	47	1797	0
4.34	3960	1325	836	47	1752	0
4.35	3896	1322	822	46	1706	0
4.36	3839	1320	807	45	1667	0
4.37	3781	1320	787	43	1631	0
4.38	3724	1317	772	43	1592	0
4.39	3669	1313	757	43	1556	0
4.4	3620	1309	745	43	1523	0
4.41	3571	1307	734	42	1488	0
4.42	3521	1302	724	42	1453	0
4.43	3473	1298	712	42	1421	0
4.44	3421	1295	702	42	1382	0
4.45	3370	1292	686	42	1350	0
4.46	3325	1289	672	42	1322	0
4.47	3291	1288	661	42	1300	0
4.48	3249	1286	654	42	1267	0
4.49	3211	1282	642	42	1245	0
4.5	3173	1280	632	42	1219	0
4.51	3121	1280	613	41	1187	0
4.52	3084	1280	604	41	1159	0
4.53	3043	1279	594	41	1129	1.28605287612476e-320
4.54	2997	1276	578	41	1102	8.2616619759717e-318
4.55	2953	1275	568	40	1070	8.3120866631144e-314
4.56	2912	1271	555	40	1046	1.27818694514927e-310
4.57	2880	1267	547	40	1026	6.24323550444294e-307
4.58	2851	1266	541	40	1004	6.04693692454056e-303
4.59	2822	1263	533	40	986	1.00074777906984e-299
4.6	2782	1261	520	40	961	1.47741578798747e-296
4.61	2745	1261	514	40	930	3.87771257210973e-290
4.62	2710	1260	505	40	905	9.57898453441737e-286
4.63	2668	1256	496	38	878	2.59589734510787e-282
4.64	2634	1255	489	38	852	1.10285136624815e-276
4.65	2598	1253	479	38	828	1.59075602295601e-272
4.66	2568	1252	471	38	807	2.32082182493419e-268
4.67	2535	1250	463	38	784	1.03300383241007e-263
4.68	2509	1249	456	38	766	3.8721364150304e-260
4.69	2509	1249	456	38	766	3.8721364150304e-260
4.7	2454	1244	438	37	735	9.35249009828661e-256
4.71	2430	1242	433	37	718	6.58599277027726e-252
4.72	2404	1239	421	37	707	4.31062509148145e-251
4.73	2381	1237	418	37	689	3.16801189851594e-246
4.74	2357	1232	415	37	673	2.32767296069186e-241
4.75	2337	1229	407	37	664	3.14098299560315e-240
4.76	2311	1227	397	37	650	3.62077344092243e-238
4.77	2288	1225	389	36	638	3.51113848229378e-237
4.78	2266	1223	382	35	626	6.73908202786853e-236
4.79	2239	1218	376	34	611	6.56914131043713e-233
4.8	2223	1216	373	33	601	3.86010731197709e-231
4.81	2209	1215	368	31	595	2.01845560399196e-232
4.82	2188	1212	365	31	580	9.76477293111372e-228
4.83	2158	1211	352	31	564	1.25676316117901e-225
4.84	2138	1210	348	31	549	2.48631917855783e-221
4.85	2115	1206	343	31	535	3.1988676637229e-217
4.86	2103	1205	341	31	526	2.04790226064318e-214
4.87	2080	1201	332	31	516	9.20218226430373e-213
4.88	2062	1200	327	31	504	1.28729421637791e-209
4.89	2050	1198	327	31	494	1.10639648051235e-205
4.9	2038	1197	325	30	486	3.93289803802003e-204
4.91	2020	1194	319	30	477	5.01617902414899e-202
4.92	2004	1193	319	30	462	3.24031516944631e-196
4.93	1981	1191	315	28	447	2.76084526291003e-193
4.94	1981	1191	315	28	447	2.76084526291003e-193
4.95	1964	1189	311	28	436	7.90433597348215e-190
4.96	1950	1187	309	28	426	3.37868811498765e-186
4.97	1936	1187	305	27	417	1.17442348889762e-184
4.98	1917	1182	303	27	405	7.8537455864787e-180
