trait	chr	pos	QTL_Type	logP_AD	DGE_chr	DGE_start	DGE_end
HP.express.scl0015130.1_284.S	7	109556850	partial-dominant	41.89 	NA	NA	NA
HP.express.ri.5330423N11.PX00643A18.AK077331.1561.S	19	23240160	partial-dominant	41.86 	19	22807950	22808000
HP.express.scl0003204.1_4.S	7	47861053	overdominant	7.27 	2	11627033	11627083
HP.express.ri.E130001K05.PX00207O23.AK087374.960.S	5	140917874	overdominant	7.21 	NA	NA	NA
HP.express.scl37686.5_631.S	1	161813131	overdominant	7.02 	10	81687628	81687678
HP.express.GI_38080684.S	4	115159472	overdominant	7.00 	16	26967977	26968027
HP.express.scl013423.1_7.S	17	30022546	overdominant	6.79 	NA	NA	NA
HP.express.scl22076.2_386.S	1	161813131	overdominant	6.67 	3	68839358	68839408
HP.express.scl44226.7.1_11.S	4	40753992	overdominant	6.66 	13	22094356	22094406
HP.express.GI_38075754.S	1	22852072	overdominant	6.72 	NA	NA	NA
HP.express.scl0319758.1_81.S	11	120818113	overdominant	7.60 	9	72469528	72469578
HP.express.scl067153.8_8.S	12	51873310	overdominant	6.84 	14	62982877	62982927
HP.express.scl077976.1_221.S	1	161813131	overdominant	6.53 	10	83833757	83833807
HP.express.scl0016341.1_91.S	1	161813131	overdominant	6.56 	15	43083078	43083128
HP.express.scl00320131.1_182.S	12	114250774	overdominant	7.14 	NA	NA	NA
HP.express.scl45117.5_8.S	4	4494114	overdominant	6.52 	14	124377151	124377201
HP.express.scl20311.19_497.S	1	161813131	overdominant	6.34 	2	128628626	128628676
HP.express.scl0002198.1_20.S	15	4349154	overdominant	6.50 	18	74946807	74946857
HP.express.scl16672.1.1_95.S	5	76760880	overdominant	6.73 	1	66844036	66844086
HP.express.ri.C130029F12.PX00168J09.AK048005.2645.S	6	118419659	overdominant	6.44 	1	37933994	37934044
HP.express.scl0004060.1_43.S	19	18231012	overdominant	6.40 	5	33088218	33088268
HP.express.ri.C230022P08.PX00174B13.AK082204.1262.S	7	77627195	overdominant	6.48 	7	30837176	30837226
HP.express.scl000965.1_10.S	14	11312893	overdominant	6.69 	1	4829486	4829536
HP.express.scl000858.1_1891.S	7	146653935	overdominant	6.18 	1	34236537	34236587
HP.express.scl0017722.1_181.S	1	161813131	overdominant	6.25 	NA	NA	NA
HP.express.scl27103.18_134.S	17	31326430	overdominant	6.03 	5	137815637	137815687
HP.express.scl17096.10_189.S	1	161813131	overdominant	6.92 	1	187181363	187181413
HP.express.scl40236.1.295_31.S	1	161813131	overdominant	6.19 	11	53290117	53290167
HP.express.scl0027407.2_308.S	1	161813131	overdominant	6.51 	5	24071162	24071212
HP.express.scl068152.6_9.S	1	161813131	overdominant	6.02 	5	3557770	3557820
HP.express.MJ.1000.72_435_a_14_1.S	11	14310670	overdominant	6.06 	NA	NA	NA
HP.express.scl0000110.1_1_REVCOMP.S	3	107244456	overdominant	6.00 	5	23889640	23889690
HP.express.scl0171253.1_200.S	4	34040918	overdominant	6.47 	13	23168374	23168424
HP.express.scl35120.1.1_72.S	9	95926311	overdominant	5.94 	8	8831716	8831766
HP.express.scl013690.1_50.S	1	161813131	overdominant	5.93 	7	118215729	118215779
HP.express.scl42772.1.2_144.S	7	47173175	overdominant	5.97 	12	111476591	111476641
HP.express.scl0093877.2_98.S	17	91432205	overdominant	6.83 	18	37495716	37495766
HP.express.scl39901.19_412.S	4	141900695	overdominant	6.22 	11	77348174	77348224
HP.express.scl32737.6.1_169.S	17	87157310	overdominant	5.91 	7	51140962	51141012
HP.express.scl0245688.12_1.S	1	161813131	overdominant	5.90 	X	159216629	159216679
HP.express.scl014828.8_22.S	1	161813131	overdominant	5.91 	2	34631669	34631719
HP.express.GI_38077493.S	19	11629225	overdominant	6.53 	NA	NA	NA
HP.express.scl36582.7.1_25.S	11	112095415	overdominant	6.07 	9	98346846	98346896
HP.express.scl37722.7_30.S	8	94449152	overdominant	5.92 	10	80146904	80146954
HP.express.scl059013.8_10.S	12	101684485	overdominant	6.32 	11	50196476	50196526
HP.express.scl000836.1_78.S	17	89401217	overdominant	6.02 	1	130081058	130081108
HP.express.scl23477.19.1_263.S	8	127852940	overdominant	5.76 	4	150378900	150378950
HP.express.scl52792.14_158.S	1	161813131	overdominant	5.75 	19	3894212	3894262
HP.express.scl0233744.9_15.S	1	161813131	overdominant	5.68 	7	121184770	121184820
HP.express.scl099045.1_16.S	2	67347571	overdominant	6.28 	2	130389510	130389560
HP.express.scl0021761.2_320.S	1	161813131	overdominant	5.72 	NA	NA	NA
HP.express.scl021898.3_195.S	10	128933001	overdominant	5.65 	4	66502623	66502673
HP.express.scl40042.12.1_56.S	7	58056259	overdominant	5.76 	11	68997644	68997694
HP.express.scl38308.4.1_188.S	11	104259847	overdominant	5.68 	10	127229401	127229451
HP.express.scl12255.1.1_147.S	11	62806018	overdominant	6.05 	13	46035833	46035883
HP.express.scl0109135.16_234.S	1	161813131	overdominant	5.60 	6	140545464	140545514
HP.express.gi_21618877_gb_BC031849.1__100_a_7_0.S	1	161813131	overdominant	5.62 	NA	NA	NA
HP.express.scl25562.17.18_7.S	16	40806038	overdominant	5.67 	4	34604052	34604102
HP.express.scl16393.3_24.S	4	23212380	overdominant	5.85 	1	121312474	121312524
HP.express.scl0003100.1_18.S	1	161813131	overdominant	5.57 	2	12276920	12276970
HP.express.scl080707.9_6.S	9	123878147	partial-dominant	28.65 	8	117876024	117876074
HP.express.scl27378.6.1_98.S	10	116988650	overdominant	5.76 	5	115387573	115387623
HP.express.X9629812_772_rc.S	9	108961792	overdominant	6.47 	NA	NA	NA
HP.express.scl0003459.1_490.S	6	136698174	overdominant	5.56 	9	111127218	111127268
HP.express.scl52553.25_587.S	8	73988007	overdominant	5.60 	19	32059249	32059299
HP.express.ri.D930008G03.PX00200E12.AK052985.1245.S	8	79782926	overdominant	5.61 	2	180703112	180703162
HP.express.scl014007.1_13.S	1	161813131	overdominant	5.51 	2	6466045	6466095
HP.express.MJ.1000.72.373.442.S	19	55602330	overdominant	5.80 	NA	NA	NA
HP.express.scl48907.2.172_25.S	17	42502090	overdominant	5.51 	16	87788014	87788064
HP.express.scl44872.3.1_141.S	1	3482175	overdominant	5.55 	13	39057909	39057959
HP.express.GI_38074852.S	2	73314518	overdominant	5.49 	2	70125998	70126048
HP.express.scl40213.8_306.S	1	161813131	overdominant	5.50 	11	54531068	54531118
HP.express.scl014758.7_197.S	1	161813131	overdominant	5.52 	X	162826734	162826784
HP.express.gi_7305154_ref_NM_013556.1__205_a_42_1.S	14	117657245	overdominant	5.49 	NA	NA	NA
HP.express.scl27567.9_262.S	1	161813131	overdominant	5.53 	5	93704892	93704942
HP.express.scl28132.24_215.S	1	161813131	overdominant	5.55 	5	4804267	4804317
HP.express.NM_008512.11_chr10_._127611516_127611753_107.S	3	131504917	overdominant	5.48 	NA	NA	NA
HP.express.scl075393.1_11.S	12	11143506	overdominant	5.80 	17	27155024	27155074
HP.express.GI_38078272.S	4	41603955	partial-dominant	50.60 	4	42803992	42804042
HP.express.scl48140.10_39.S	1	161813131	overdominant	5.46 	15	3230398	3230448
HP.express.scl29623.5_373.S	1	161813131	overdominant	5.45 	6	113581420	113581470
HP.express.scl36973.6.1_41.S	7	58273870	overdominant	5.45 	9	50433024	50433074
HP.express.scl00252973.2_282.S	10	101577553	overdominant	5.88 	15	37263303	37263353
HP.express.scl0002860.1_37.S	12	28665483	overdominant	5.58 	4	116851244	116851294
HP.express.scl27817.15.776_18.S	1	32555164	overdominant	5.68 	5	53462695	53462745
HP.express.scl0026875.1_310.S	15	3927809	overdominant	5.47 	5	14795906	14795956
HP.express.scl077781.2_11.S	1	161813131	overdominant	5.56 	9	111179977	111180027
HP.express.scl0100609.9_1.S	1	63303607	overdominant	5.42 	5	135851458	135851508
HP.express.scl16593.18.1_1.S	4	105650617	overdominant	5.41 	1	75482464	75482514
HP.express.ri.E230019N23.PX00209H03.AK054108.1879.S	10	26165417	overdominant	5.40 	2	157956279	157956329
HP.express.GI_38086278.S	1	184569434	overdominant	5.43 	7	32757444	32757494
HP.express.scl00207704.1_15.S	12	55741244	overdominant	6.01 	5	5538546	5538596
HP.express.scl0050790.1_147.S	1	161813131	overdominant	5.39 	X	138752710	138752760
HP.express.scl19219.1.708_20.S	1	161813131	overdominant	5.39 	2	62531592	62531642
HP.express.scl0020666.1_225.S	1	169907733	overdominant	6.16 	NA	NA	NA
HP.express.scl48493.1_0.S	11	34833293	overdominant	5.41 	16	37653569	37653619
HP.express.scl00171286.2_214.S	2	135359901	overdominant	5.39 	16	33663336	33663386
