trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
ENSRNOT00000021655	5	166625502	166625502-166625502	dominant	cis	70.93 	94.58 
ENSRNOT00000060947	5	166625502	166625502-166625502	dominant	cis	68.71 	92.30 
ENSRNOT00000038495	20	3905878	3905878-3905878	dominant	cis	34.85 	56.04 
ENSRNOT00000044867	20	3703608	3703608-3703608	dominant	cis	16.21 	32.94 
ENSRNOT00000043421	2	54269250	54269250-54613461	dominant	trans	12.36 	15.36 
ENSRNOT00000036630	2	19404911	10160746-21273222	dominant	trans	11.56 	15.82 
ENSRNOT00000029799	10	85747170	84464885-85751130	overdominant	trans	11.00 	13.34 
ENSRNOT00000014800	9	19418496	19184849-19463020	overdominant	trans	10.00 	9.12 
ENSRNOT00000006814	4	164637088	164637088-165589784	dominant	trans	9.64 	12.33 
ENSRNOT00000033751	4	134997923	134997923-134997923	dominant	trans	9.28 	12.04 
ENSRNOT00000056197	6	116317817	116317817-116317817	dominant	trans	9.07 	12.76 
ENSRNOT00000056104	1	194296931	194128655-194296931	dominant	trans	8.95 	12.54 
ENSRNOT00000029183	7	21340961	21340961-21340961	overdominant	trans	8.72 	8.40 
ENSRNOT00000048914	5	166625502	166275172-166813241	partial-dominant	cis	8.58 	20.12 
ENSRNOT00000044189	7	135084321	135084321-135173467	dominant	trans	8.45 	11.49 
ENSRNOT00000059942	18	52433199	52433199-52730250	dominant	trans	8.38 	10.49 
ENSRNOT00000045208	8	82877688	82112552-83122472	dominant	trans	8.34 	10.45 
ENSRNOT00000068581	18	78016808	78016808-78317234	overdominant	trans	8.29 	8.70 
ENSRNOT00000051080	15	34558666	34558666-34558666	dominant	trans	8.25 	12.87 
ENSRNOT00000009039	1	132981347	132981347-133048863	overdominant	trans	8.21 	7.37 
ENSRNOT00000032076	5	1778430	219789-2664467	dominant	trans	8.09 	11.87 
ENSRNOT00000044725	2	204063359	204063008-204437461	dominant	trans	8.03 	10.61 
ENSRNOT00000045208	3	141672164	141404842-141889703	dominant	trans	8.00 	9.28 
ENSRNOT00000001088	12	2420096	2420096-4093182	overdominant	trans	7.97 	7.37 
ENSRNOT00000057831	7	20545988	20433756-21322342	overdominant	trans	7.79 	7.20 
ENSRNOT00000045525	14	14763762	14694878-15055429	dominant	trans	7.76 	12.11 
ENSRNOT00000067696	7	22798554	22798554-22804172	overdominant	trans	7.76 	7.12 
ENSRNOT00000061987	2	74574029	73877448-74574029	dominant	trans	7.72 	12.03 
ENSRNOT00000038963	13	42515947	42515947-42515947	dominant	trans	7.72 	10.35 
ENSRNOT00000066990	1	48706463	48706463-48706463	dominant	trans	7.69 	8.94 
ENSRNOT00000041406	3	149001525	149001525-149001525	dominant	trans	7.68 	8.71 
ENSRNOT00000046106	3	149001525	149001525-149001525	dominant	trans	7.68 	8.71 
ENSRNOT00000065961	9	19184849	19184849-19473960	overdominant	trans	7.68 	6.84 
ENSRNOT00000050485	3	117525339	117525339-117870359	dominant	trans	7.61 	8.90 
ENSRNOT00000021379	1	240690815	240690815-240690815	dominant	trans	7.59 	10.19 
ENSRNOT00000000059	10	84773728	84464885-84773728	dominant	trans	7.58 	14.15 
ENSRNOT00000009487	2	242398880	242398880-242450317	overdominant	trans	7.55 	7.43 
ENSRNOT00000050172	13	58515473	58160953-59489794	overdominant	trans	7.53 	7.69 
ENSRNOT00000000578	17	62352151	62198117-63530818	overdominant	trans	7.52 	6.81 
ENSRNOT00000032738	14	96628521	96458928-98024398	dominant	trans	7.43 	10.31 
ENSRNOT00000025892	11	63565619	63216358-63594137	dominant	trans	7.42 	9.79 
ENSRNOT00000064389	13	49080367	48758296-49507702	overdominant	trans	7.41 	6.59 
ENSRNOT00000060563	20	38641166	36158835-38738082	dominant	trans	7.41 	9.18 
ENSRNOT00000044302	4	22877905	22836363-23322858	dominant	trans	7.39 	8.40 
ENSRNOT00000037795	7	92556095	89964629-92565892	overdominant	trans	7.38 	7.10 
ENSRNOT00000007946	4	10523975	10197181-10567574	overdominant	trans	7.34 	7.99 
ENSRNOT00000065782	20	13117004	13117004-15448886	dominant	trans	7.28 	10.24 
ENSRNOT00000060563	19	30158422	29652488-30353409	dominant	trans	7.27 	9.14 
ENSRNOT00000051009	1	53307689	49570126-53307689	dominant	trans	7.24 	10.35 
ENSRNOT00000009277	14	68243804	68243804-68243804	overdominant	trans	7.23 	6.41 
ENSRNOT00000007523	15	84045827	83975835-84316270	overdominant	trans	7.23 	6.52 
ENSRNOT00000021612	10	85747170	84524201-85751130	overdominant	trans	7.21 	7.42 
ENSRNOT00000058268	6	101718055	101718055-103208544	dominant	trans	7.20 	9.05 
ENSRNOT00000020957	14	70216409	70211221-70216409	overdominant	trans	7.18 	6.36 
ENSRNOT00000050222	11	65668420	65430025-66143980	dominant	trans	7.17 	10.29 
ENSRNOT00000039992	3	79340374	78296230-80426875	dominant	trans	7.17 	9.75 
ENSRNOT00000040961	8	50271658	50271658-50753451	overdominant	trans	7.15 	6.94 
ENSRNOT00000026418	2	228278491	228278491-228332056	overdominant	trans	7.13 	6.32 
ENSRNOT00000013031	10	41496656	41041011-42409919	overdominant	trans	7.13 	6.59 
ENSRNOT00000067373	2	242398880	242398880-242450317	dominant	trans	7.13 	8.86 
ENSRNOT00000032986	10	91877220	91675355-93034830	overdominant	trans	7.11 	6.52 
ENSRNOT00000050756	9	101539741	101539741-101539741	dominant	trans	7.09 	8.75 
ENSRNOT00000023158	16	11190288	10570070-11190288	overdominant	trans	7.07 	8.10 
ENSRNOT00000059224	5	69205738	69205738-69205738	dominant	trans	7.02 	10.40 
ENSRNOT00000036164	1	194678056	194678056-194703560	overdominant	trans	7.00 	6.18 
ENSRNOT00000039823	10	85747170	84872781-85751130	overdominant	trans	6.99 	6.17 
ENSRNOT00000004408	3	139445815	136996996-139492060	overdominant	trans	6.98 	6.19 
ENSRNOT00000010465	11	20568803	20568803-20568803	dominant	trans	6.97 	10.73 
ENSRNOT00000064847	20	14800326	14800326-15745051	overdominant	trans	6.96 	6.21 
ENSRNOT00000002752	16	74443503	74443503-74522413	overdominant	trans	6.96 	6.31 
ENSRNOT00000023181	9	42592702	42219351-42592702	overdominant	trans	6.95 	7.36 
ENSRNOT00000042131	6	39454431	39350999-39461231	dominant	trans	6.94 	9.89 
ENSRNOT00000016430	7	108931738	106762428-109462001	dominant	trans	6.94 	10.22 
ENSRNOT00000061547	6	115819506	115513075-115819506	dominant	trans	6.94 	9.96 
ENSRNOT00000042611	2	69852452	69692709-72360159	overdominant	trans	6.93 	6.30 
ENSRNOT00000000956	17	86475100	86406226-86825886	overdominant	trans	6.92 	6.97 
ENSRNOT00000030918	14	43737693	3163830-43955740	overdominant	trans	6.91 	6.27 
ENSRNOT00000068581	8	50271658	50271658-50753451	dominant	trans	6.91 	7.91 
ENSRNOT00000038425	3	12255455	10397386-13147563	overdominant	trans	6.90 	6.78 
ENSRNOT00000043604	14	89307553	89209092-89628055	overdominant	trans	6.88 	6.30 
ENSRNOT00000011904	2	211624684	211624684-211986342	overdominant	trans	6.88 	8.41 
ENSRNOT00000059826	13	39498924	39346711-39498924	overdominant	trans	6.87 	6.41 
ENSRNOT00000014301	7	90195301	89964629-92565892	overdominant	trans	6.87 	6.10 
ENSRNOT00000043053	6	115737061	115513075-115779617	dominant	trans	6.87 	9.46 
ENSRNOT00000050891	12	37210979	37081537-37237517	overdominant	trans	6.86 	6.13 
ENSRNOT00000038594	3	31738675	31738675-31919921	dominant	trans	6.86 	8.01 
ENSRNOT00000023333	2	21239145	21239145-21995329	overdominant	trans	6.84 	6.13 
