trait	chr	pos	QTL_Type	logP_AD	DGE_chr	DGE_start	DGE_end
THY01_0089_H03	7	129631666	partial-dominant	82.81 	NA	NA	NA
gnl.UG.Ssc.S46878994	7	110024659	partial-dominant	54.50 	NA	NA	NA
gnl.UG.Ssc.S35170662	6	41583184	partial-dominant	70.88 	6	43241077	43250623
gnl.UG.Ssc.S46876041	17	30203358	partial-dominant	71.52 	17	30294309	30296939
gnl.UG.Ssc.S39836829	7	130232391	overdominant	31.41 	NA	NA	NA
gnl.UG.Ssc.S23213113	4	88804728	overdominant	9.25 	GL894998.2	24891	35087
ADR01_0090_A05	11	25018778	overdominant	8.48 	NA	NA	NA
gnl.UG.Ssc.S35169298	2	45086184	partial-dominant	66.03 	2	45084641	45087723
LVRM1_0037_D08	15	151625795	partial-dominant	83.00 	15	152382675	152398097
gnl.UG.Ssc.S35167544	6	17917275	partial-dominant	29.43 	6	18405764	18476092
gnl.UG.Ssc.S23213279	2	11089701	partial-dominant	46.03 	2	11088778	11093513
gnl.UG.Ssc.S40171664	3	20071065	overdominant	8.13 	NA	NA	NA
gnl.UG.Ssc.S35172759	4	95235358	dominant	9.57 	4	94875738	94907090
PBL01_0010_D02	2	138867885	partial-dominant	52.50 	2	138992124	138999352
gnl.UG.Ssc.S35171216	12	6269592	overdominant	7.52 	NA	NA	NA
gnl.UG.Ssc.S35169214	13	199515279	overdominant	7.58 	NA	NA	NA
LVRM1_0040_A07	14	135180711	partial-dominant	78.28 	14	135129974	135165466
gnl.UG.Ssc.S19544549	7	95834078	overdominant	8.65 	8	130594675	130649857
THY01_0110_C09	3	117308221	dominant	32.28 	NA	NA	NA
gnl.UG.Ssc.S16767994	17	53166870	partial-dominant	38.31 	17	53167238	53169798
gnl.UG.Ssc.S35172564	14	69045328	overdominant	6.86 	NA	NA	NA
PBL01_0007_F05	6	18639561	partial-dominant	13.75 	6	17648232	17669499
gnl.UG.Ssc.S35170943	10	65438854	overdominant	7.22 	10	45876739	46000323
gnl.UG.Ssc.S31102047	3	109299266	overdominant	7.17 	NA	NA	NA
gnl.UG.Ssc.S46877767	2	19206291	overdominant	6.63 	11	53771440	53783623
gnl.UG.Ssc.S40175258	6	41520004	overdominant	7.31 	1	83271468	83349373
gnl.UG.Ssc.S39836829	9	149938781	dominant	7.95 	NA	NA	NA
gnl.UG.Ssc.S46877679	8	93139248	overdominant	6.69 	13	169086152	169091372
gnl.UG.Ssc.S35172940	5	104488085	overdominant	6.73 	NA	NA	NA
gnl.UG.Ssc.S46878250	17	64830799	overdominant	6.58 	7	20764481	20883304
gnl.UG.Ssc.S31123750	9	13826057	dominant	32.58 	NA	NA	NA
gnl.UG.Ssc.S41658109	9	62792510	overdominant	6.41 	5	77646641	77671387
gnl.UG.Ssc.S35164277	5	58178196	overdominant	6.37 	6	16238853	16248810
DCI01_0068_E12	18	41909499	overdominant	6.36 	2	101569559	101583976
gnl.UG.Ssc.S23763543	3	14296505	overdominant	6.34 	2	50763080	50825362
gnl.UG.Ssc.S34529606	2	10475248	overdominant	6.34 	14	79241138	79260436
DCI01_0076_C05	16	38700968	overdominant	6.44 	NA	NA	NA
gnl.UG.Ssc.S23213250	5	23032447	overdominant	6.49 	X	142021546	142051894
gnl.UG.Ssc.S39967395	2	26235217	overdominant	6.64 	1	40459699	40468997
gnl.UG.Ssc.S35172455	17	30063721	dominant	38.73 	17	30084860	30109954
gnl.UG.Ssc.S17499579	3	133714877	overdominant	6.38 	NA	NA	NA
gnl.UG.Ssc.S21631326	7	126067443	overdominant	6.49 	NA	NA	NA
gnl.UG.Ssc.S18384308	13	18167411	overdominant	6.34 	8	141369845	141583918
OVR01_0042_C03	10	57044576	overdominant	6.24 	GL894031.1	190963	208617
gnl.UG.Ssc.S18555750	3	32838997	partial-dominant	56.31 	NA	NA	NA
gnl.UG.Ssc.S21107119	13	202689206	overdominant	6.37 	NA	NA	NA
gnl.UG.Ssc.S27604166	6	143976085	overdominant	6.19 	NA	NA	NA
MLN01_0059_A11	5	26815041	overdominant	6.47 	NA	NA	NA
gnl.UG.Ssc.S40265193	9	19753580	overdominant	6.27 	NA	NA	NA
gnl.UG.Ssc.S35166337	7	112327905	overdominant	6.22 	NA	NA	NA
gnl.UG.Ssc.S34504774	8	146101319	overdominant	6.89 	NA	NA	NA
gnl.UG.Ssc.S48368244	18	43266873	overdominant	6.12 	NA	NA	NA
gnl.UG.Ssc.S46877354	13	7506446	overdominant	6.17 	14	144290016	144302218
gnl.UG.Ssc.S17524908	10	37609054	overdominant	6.39 	NA	NA	NA
gnl.UG.Ssc.S46878463	7	42576292	partial-dominant	24.17 	7	43248740	43249774
LVRM1_0012_F08	11	75298434	overdominant	6.32 	4	107776024	107783578
gnl.UG.Ssc.S36038433	7	30314760	overdominant	6.23 	GL896094.1	3193	7165
gnl.UG.Ssc.S40480073	9	105742262	overdominant	5.99 	NA	NA	NA
gnl.UG.Ssc.S46875685	10	49454203	overdominant	6.06 	X	37892767	37949871
TCH01_0013_E11	12	60445548	overdominant	5.99 	NA	NA	NA
gnl.UG.Ssc.S17502826	8	139770558	overdominant	6.05 	NA	NA	NA
gnl.UG.Ssc.S22277516	8	41198162	partial-dominant	35.30 	NA	NA	NA
SPL01_0034_C03	5	61046313	overdominant	5.97 	1	106025621	106074150
OVRM1_0070_G11	2	28864038	overdominant	6.01 	7	57304933	57333771
gnl.UG.Ssc.S34518195	9	28910116	overdominant	6.16 	12	19169466	19170989
gnl.UG.Ssc.S6667231	6	41520004	overdominant	6.15 	3	17840781	17848221
gnl.UG.Ssc.S35167642	15	22841929	overdominant	5.92 	13	98827874	98829536
gnl.UG.Ssc.S31105501	6	110689566	overdominant	5.94 	NA	NA	NA
gnl.UG.Ssc.S23758444	13	32176224	overdominant	5.92 	14	65322103	65345893
gnl.UG.Ssc.S40155098	13	88881627	overdominant	6.04 	NA	NA	NA
gnl.UG.Ssc.S40406997	11	87274981	overdominant	5.88 	NA	NA	NA
gnl.UG.Ssc.S6077133	10	61583800	overdominant	5.85 	6	44447547	44448266
gnl.UG.Ssc.S6061185	15	31743477	overdominant	5.84 	NA	NA	NA
gnl.UG.Ssc.S17527614	15	134984250	overdominant	5.98 	NA	NA	NA
gnl.UG.Ssc.S46879719	8	76714854	overdominant	5.79 	4	79257448	79282998
gnl.UG.Ssc.S23701196	7	65257522	partial-dominant	33.44 	7	65167884	65205814
gnl.UG.Ssc.S23765987	7	93251213	overdominant	6.08 	12	47243167	47243868
gnl.UG.Ssc.S38481945	6	147886998	overdominant	6.24 	NA	NA	NA
gnl.UG.Ssc.S23769808	18	11223850	overdominant	5.81 	11	69825438	69859807
gnl.UG.Ssc.S40478006	3	117067138	overdominant	5.94 	10	10354223	10478457
gnl.UG.Ssc.S18554615	12	15953277	overdominant	6.29 	NA	NA	NA
gnl.UG.Ssc.S35165453	11	15826708	overdominant	5.91 	6	48771886	48779643
gnl.UG.Ssc.S46877214	1	50500358	overdominant	5.87 	14	122709355	122726483
gnl.UG.Ssc.S46879075	8	15408835	dominant	6.18 	7	12713074	12733740
gnl.UG.Ssc.S19544236	1	257954281	overdominant	6.07 	NA	NA	NA
gnl.UG.Ssc.S23758906	6	108870601	overdominant	6.02 	NA	NA	NA
gnl.UG.Ssc.S35171372	15	141057513	overdominant	5.86 	X	98342576	98355097
gnl.UG.Ssc.S35168137	14	150319623	overdominant	5.84 	NA	NA	NA
LVRM1_0041_A02	15	133138277	overdominant	6.00 	NA	NA	NA
gnl.UG.Ssc.S23758955	7	64909501	overdominant	5.86 	7	103934687	103955706
gnl.UG.Ssc.S18358331	2	2715091	overdominant	5.76 	NA	NA	NA
PTG01_0019_H02	4	107959349	overdominant	5.81 	2	78157105	78165835
gnl.UG.Ssc.S46881210	18	11430257	overdominant	6.01 	NA	NA	NA
gnl.UG.Ssc.S32392684	2	142373868	partial-dominant	42.23 	2	142498900	142565796
gnl.UG.Ssc.S46880124	4	101855077	partial-dominant	48.41 	NA	NA	NA
gnl.UG.Ssc.S6081090	6	132543418	overdominant	5.69 	NA	NA	NA
gnl.UG.Ssc.S39802929	15	129532439	overdominant	5.91 	NA	NA	NA
gnl.UG.Ssc.S26650429	8	27843287	overdominant	5.70 	NA	NA	NA
