trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
ENSRNOG00000030466	5	116222993	116222993-116222993	dominant	cis	73.38 	98.70 
ENSRNOG00000012067	1	215833831	215360573-216206844	partial-dominant	cis	39.79 	89.91 
ENSRNOG00000021445	4	170577857	169761319-170822179	dominant	cis	33.39 	54.53 
ENSRNOG00000042018	4	170577459	169761319-170822179	partial-dominant	cis	29.83 	53.51 
ENSRNOG00000029386	20	2761687	2761687-3286135	partial-dominant	cis	29.58 	61.12 
ENSRNOG00000031982	20	1473491	1473491-3286135	partial-dominant	cis	27.52 	60.60 
ENSRNOG00000020641	10	13623345	12884321-14407712	dominant	trans	26.26 	49.47 
ENSRNOG00000021555	11	30762025	30762025-30762025	partial-dominant	cis	26.15 	79.48 
ENSRNOG00000023667	1	2260115	2260115-2663368	partial-dominant	cis	24.16 	74.38 
ENSRNOG00000003537	13	89743611	89743149-90159133	partial-dominant	cis	23.80 	68.00 
ENSRNOG00000031454	17	71964940	71964940-72105828	dominant	cis	20.57 	34.14 
ENSRNOG00000038953	12	6301614	6301614-6507411	partial-dominant	trans	19.98 	83.74 
ENSRNOG00000031491	10	12884321	12884321-14407712	dominant	trans	18.81 	38.99 
ENSRNOG00000018045	7	141404668	141404668-141445917	partial-dominant	trans	18.26 	60.55 
ENSRNOG00000010004	8	92242349	91976523-92377334	dominant	cis	17.08 	30.40 
ENSRNOG00000017898	19	36910451	36812725-36957355	partial-dominant	trans	16.64 	45.45 
ENSRNOG00000038478	12	6589806	6393427-6684583	partial-dominant	trans	15.79 	68.21 
ENSRNOG00000031154	10	15489538	15262619-15685500	partial-dominant	cis	14.30 	37.81 
ENSRNOG00000032580	2	86200809	85543470-87649767	partial-dominant	cis	13.76 	42.02 
ENSRNOG00000043497	2	208683385	206289001-209851678	partial-dominant	cis	13.72 	39.46 
ENSRNOG00000025898	7	129991802	129121981-130000957	partial-dominant	cis	12.77 	30.10 
ENSRNOG00000042095	20	2761687	1473491-3286135	partial-dominant	cis	12.46 	36.96 
