trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
HP.express.scl0015130.1_284.S	7	109556850	109151732-111297435	partial-dominant	NA	14.57 	41.89 
HP.express.ri.5330423N11.PX00643A18.AK077331.1561.S	19	23240160	23240160-23295631	partial-dominant	cis	11.65 	41.86 
HP.express.scl0003204.1_4.S	7	47861053	47861053-48180442	overdominant	trans	8.13 	7.27 
HP.express.ri.E130001K05.PX00207O23.AK087374.960.S	5	140917874	140272374-140917874	overdominant	NA	8.07 	7.21 
HP.express.scl37686.5_631.S	1	161813131	161813131-161813131	overdominant	trans	7.87 	7.02 
HP.express.GI_38080684.S	4	115159472	114605311-117083314	overdominant	trans	7.85 	7.00 
HP.express.scl013423.1_7.S	17	30022546	29661037-31326430	overdominant	NA	7.64 	6.79 
HP.express.scl22076.2_386.S	1	161813131	161813131-161813131	overdominant	trans	7.51 	6.67 
HP.express.scl44226.7.1_11.S	4	40753992	40396917-40753992	overdominant	trans	7.49 	6.66 
HP.express.GI_38075754.S	1	22852072	22158385-22852072	overdominant	NA	7.48 	6.72 
HP.express.scl0319758.1_81.S	11	120818113	120818113-120818113	overdominant	trans	7.46 	7.60 
HP.express.scl067153.8_8.S	12	51873310	51873310-57107214	overdominant	trans	7.44 	6.84 
HP.express.scl077976.1_221.S	1	161813131	161813131-161813131	overdominant	trans	7.36 	6.53 
HP.express.scl0016341.1_91.S	1	161813131	161813131-161813131	overdominant	trans	7.34 	6.56 
HP.express.scl00320131.1_182.S	12	114250774	114250774-114569903	overdominant	NA	7.22 	7.14 
HP.express.scl45117.5_8.S	4	4494114	4494114-4494114	overdominant	trans	7.21 	6.52 
HP.express.scl20311.19_497.S	1	161813131	161813131-161813131	overdominant	trans	7.18 	6.34 
HP.express.scl0002198.1_20.S	15	4349154	3619012-4349154	overdominant	trans	7.17 	6.50 
HP.express.scl16672.1.1_95.S	5	76760880	76760880-76760880	overdominant	trans	7.13 	6.73 
HP.express.ri.C130029F12.PX00168J09.AK048005.2645.S	6	118419659	118022343-119361386	overdominant	trans	7.09 	6.44 
HP.express.scl0004060.1_43.S	19	18231012	17653325-18231012	overdominant	trans	7.01 	6.40 
HP.express.ri.C230022P08.PX00174B13.AK082204.1262.S	7	77627195	76056334-77721299	overdominant	trans	6.96 	6.48 
HP.express.scl000965.1_10.S	14	11312893	11312893-11312893	overdominant	trans	6.96 	6.69 
HP.express.scl000858.1_1891.S	7	146653935	146504966-146970730	overdominant	trans	6.93 	6.18 
HP.express.scl0017722.1_181.S	1	161813131	161813131-161813131	overdominant	NA	6.88 	6.25 
HP.express.scl27103.18_134.S	17	31326430	29661037-31326430	overdominant	trans	6.83 	6.03 
HP.express.scl17096.10_189.S	1	161813131	161813131-161813131	overdominant	trans	6.81 	6.92 
HP.express.scl40236.1.295_31.S	1	161813131	161813131-161813131	overdominant	trans	6.80 	6.19 
HP.express.scl0027407.2_308.S	1	161813131	161813131-161813131	overdominant	trans	6.80 	6.51 
HP.express.scl068152.6_9.S	1	161813131	161813131-161813131	overdominant	trans	6.79 	6.02 
HP.express.MJ.1000.72_435_a_14_1.S	11	14310670	14310670-14310670	overdominant	NA	6.78 	6.06 
HP.express.scl0000110.1_1_REVCOMP.S	3	107244456	107244456-107273951	overdominant	trans	6.78 	6.00 
HP.express.scl0171253.1_200.S	4	34040918	34040918-34755138	overdominant	trans	6.77 	6.47 
HP.express.scl35120.1.1_72.S	9	95926311	95251098-96808617	overdominant	trans	6.75 	5.94 
HP.express.scl013690.1_50.S	1	161813131	161813131-161813131	overdominant	trans	6.75 	5.93 
HP.express.scl42772.1.2_144.S	7	47173175	46946166-47419364	overdominant	trans	6.74 	5.97 
HP.express.scl0093877.2_98.S	17	91432205	91311431-91432205	overdominant	trans	6.74 	6.83 
HP.express.scl39901.19_412.S	4	141900695	141658864-141900695	overdominant	trans	6.73 	6.22 
HP.express.scl32737.6.1_169.S	17	87157310	87157310-87477713	overdominant	trans	6.72 	5.91 
HP.express.scl0245688.12_1.S	1	161813131	161813131-161813131	overdominant	trans	6.70 	5.90 
HP.express.scl014828.8_22.S	1	161813131	161813131-161813131	overdominant	trans	6.69 	5.91 
HP.express.GI_38077493.S	19	11629225	11629225-11629225	overdominant	NA	6.68 	6.53 
HP.express.scl36582.7.1_25.S	11	112095415	112095415-112587501	overdominant	trans	6.64 	6.07 
HP.express.scl37722.7_30.S	8	94449152	90851762-95172184	overdominant	trans	6.63 	5.92 
HP.express.scl059013.8_10.S	12	101684485	101182577-101684485	overdominant	trans	6.61 	6.32 
HP.express.scl000836.1_78.S	17	89401217	89401217-89401217	overdominant	trans	6.60 	6.02 
HP.express.scl23477.19.1_263.S	8	127852940	127638433-128111792	overdominant	trans	6.56 	5.76 
HP.express.scl52792.14_158.S	1	161813131	161813131-161813131	overdominant	trans	6.51 	5.75 
HP.express.scl0233744.9_15.S	1	161813131	161813131-161813131	overdominant	trans	6.49 	5.68 
HP.express.scl099045.1_16.S	2	67347571	65384202-67347571	overdominant	trans	6.49 	6.28 
HP.express.scl0021761.2_320.S	1	161813131	161813131-161813131	overdominant	NA	6.47 	5.72 
HP.express.scl021898.3_195.S	10	128933001	128933001-128933001	overdominant	trans	6.46 	5.65 
HP.express.scl40042.12.1_56.S	7	58056259	58056259-58808416	overdominant	trans	6.45 	5.76 
HP.express.scl38308.4.1_188.S	11	104259847	104259847-104259847	overdominant	trans	6.43 	5.68 
HP.express.scl12255.1.1_147.S	11	62806018	59968829-63190603	overdominant	trans	6.42 	6.05 
HP.express.scl0109135.16_234.S	1	161813131	161813131-161813131	overdominant	trans	6.40 	5.60 
HP.express.gi_21618877_gb_BC031849.1__100_a_7_0.S	1	161813131	161813131-161813131	overdominant	NA	6.39 	5.62 
HP.express.scl25562.17.18_7.S	16	40806038	40806038-40973948	overdominant	trans	6.38 	5.67 
HP.express.scl16393.3_24.S	4	23212380	23212380-24832787	overdominant	trans	6.38 	5.85 
HP.express.scl0003100.1_18.S	1	161813131	161813131-161813131	overdominant	trans	6.37 	5.57 
HP.express.scl080707.9_6.S	9	123878147	123878147-123943912	partial-dominant	trans	6.36 	28.65 
HP.express.scl27378.6.1_98.S	10	116988650	116988650-118063735	overdominant	trans	6.35 	5.76 
HP.express.X9629812_772_rc.S	9	108961792	108100995-110939171	overdominant	NA	6.34 	6.47 
HP.express.scl0003459.1_490.S	6	136698174	136698174-137427457	overdominant	trans	6.34 	5.56 
HP.express.scl52553.25_587.S	8	73988007	73988007-73988007	overdominant	trans	6.32 	5.60 
