trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
LIVER.express.scl00024.1_6.S	19	30392032	30313613-30392032	overdominant	trans	7.31 	6.50 
LIVER.express.scl53316.1.1_226.S	4	46764494	46487258-46764494	overdominant	trans	7.30 	6.79 
LIVER.express.scl0015130.1_284.S	7	113660134	109151732-114369436	dominant	NA	7.30 	15.42 
LIVER.express.ri.A230050A16.PX00128O21.AK038607.1084.S	10	64172995	64172995-64172995	overdominant	trans	7.23 	6.55 
LIVER.express.scl23126.6_186.S	7	149537666	149537666-149537666	overdominant	trans	7.18 	7.11 
LIVER.express.GI_38085741.S	5	120493505	119343787-130441150	overdominant	trans	7.10 	6.28 
LIVER.express.scl25793.1.1_0.S	8	3312780	3312780-3312780	overdominant	trans	7.10 	6.55 
LIVER.express.scl074645.1_117.S	19	23661236	23661236-23889812	overdominant	trans	7.03 	6.21 
LIVER.express.scl00109205.1_28.S	4	84522419	84522419-86721190	overdominant	trans	7.00 	6.21 
LIVER.express.scl000031.1_6_REVCOMP.S	15	99414812	99341195-100867357	overdominant	NA	6.91 	6.21 
LIVER.express.scl0002268.1_45.S	2	164133161	164016555-164290441	overdominant	trans	6.88 	6.12 
LIVER.express.scl47358.1_193.S	11	6774647	6774647-7106175	overdominant	trans	6.88 	6.28 
LIVER.express.scl52839.2_29.S	19	30392032	30313613-30392032	overdominant	trans	6.85 	6.04 
LIVER.express.scl22583.12.1_160.S	13	58288267	58288267-58543081	overdominant	trans	6.78 	6.04 
LIVER.express.ri.1100001L02.R000005F24.AK003189.1279.S	4	29505337	29505337-30648428	overdominant	NA	6.73 	6.12 
LIVER.express.scl47035.3.1_44.S	12	34957559	34957559-35563523	overdominant	trans	6.73 	6.02 
LIVER.express.scl30657.16.1_159.S	3	71320671	70392038-72129740	overdominant	trans	6.70 	5.96 
LIVER.express.scl070189.1_41.S	13	61168767	60518902-64072890	overdominant	trans	6.68 	5.92 
LIVER.express.scl50925.11.59_20.S	19	30392032	30313613-30392032	overdominant	trans	6.64 	5.88 
LIVER.express.scl021818.12_6.S	8	126223992	125071460-126493854	overdominant	trans	6.63 	5.88 
LIVER.express.scl0003072.1_33.S	10	86196903	85914325-87675552	overdominant	trans	6.60 	5.79 
LIVER.express.ri.4933414I19.PX00642K09.AK077156.1325.S	3	115759746	115759746-116529749	overdominant	trans	6.58 	6.01 
LIVER.express.scl45772.22.1_79.S	7	141877628	141612959-141877628	overdominant	trans	6.57 	5.99 
LIVER.express.GI_38050387.S	6	135272017	135272017-135839502	overdominant	trans	6.56 	6.48 
LIVER.express.scl48409.23_594.S	19	30392032	30313613-30392032	overdominant	trans	6.55 	5.85 
LIVER.express.scl0003450.1_9.S	7	141279804	141279804-141279804	overdominant	trans	6.55 	5.78 
LIVER.express.scl0238871.11_15.S	1	16714243	16268622-16714243	overdominant	trans	6.55 	5.86 
LIVER.express.scl33480.16_131.S	19	30392032	30313613-30392032	overdominant	trans	6.51 	5.70 
LIVER.express.GI_38079032.S	1	159295625	159295625-159295625	overdominant	trans	6.47 	5.71 
LIVER.express.scl0234593.14_96.S	10	88796691	87106043-89014154	overdominant	trans	6.46 	5.67 
LIVER.express.scl44243.1.73_170.S	1	159830414	151137695-160621550	overdominant	trans	6.46 	5.72 
LIVER.express.ri.9430031M01.PX00108N18.AK034754.3103.S	14	75630384	75630384-76317379	overdominant	trans	6.44 	5.75 
LIVER.express.scl00230234.1_296.S	19	30392032	30313613-30392032	overdominant	trans	6.42 	5.64 
LIVER.express.ri.4732418C03.PX00050H19.AK028617.2368.S	7	16856985	16856985-16856985	overdominant	trans	6.41 	5.61 
LIVER.express.scl0073124.2_319.S	10	90522899	88796691-90880454	overdominant	trans	6.41 	5.69 
LIVER.express.scl0021885.2_292.S	17	50872569	50872569-50872569	overdominant	trans	6.39 	5.59 
LIVER.express.scl37325.1.1213_80.S	12	95600910	94983892-95600910	overdominant	trans	6.39 	5.99 
LIVER.express.ri.A230090K04.PX00130M17.AK039052.789.S	4	150322101	150322101-150458854	overdominant	trans	6.38 	5.73 
LIVER.express.scl0003565.1_25.S	3	30281954	30281954-30398139	overdominant	trans	6.37 	5.95 
LIVER.express.scl40305.32_46.S	8	84140245	83887227-84235111	overdominant	trans	6.36 	5.90 
LIVER.express.X9629812_639_rc.S	11	69901906	69020023-70543775	overdominant	NA	6.36 	5.59 
LIVER.express.scl0244059.4_14.S	7	97617492	97617492-97617492	overdominant	trans	6.35 	5.55 
LIVER.express.scl6448.1.1_4.S	2	147477599	147477599-161896844	overdominant	trans	6.34 	5.94 
LIVER.express.scl0015572.1_330.S	8	17328796	16859046-17948485	overdominant	NA	6.33 	6.17 
LIVER.express.GI_38089745.S	11	69560864	68922467-70615596	overdominant	trans	6.32 	5.67 
LIVER.express.scl072672.3_8.S	18	21287149	21287149-21512284	overdominant	trans	6.31 	5.52 
LIVER.express.scl21215.2.1_31.S	18	61540914	60965973-61540914	overdominant	trans	6.30 	5.78 
LIVER.express.GI_28525772.S	4	125265532	123873095-126149989	overdominant	trans	6.30 	5.53 
LIVER.express.scl37182.35.1_29.S	6	109102942	102818229-109996150	overdominant	trans	6.30 	5.50 
LIVER.express.scl44955.1.557_43.S	11	56329468	55207955-56329468	overdominant	trans	6.28 	5.94 
LIVER.express.scl54341.4.1_13.S	17	62900675	62900675-63851467	overdominant	trans	6.28 	5.86 
LIVER.express.scl49774.8.1_3.S	5	41922376	41433862-42201344	overdominant	trans	6.26 	5.51 
LIVER.express.scl49480.1_31.S	7	64571226	64571226-65367018	overdominant	trans	6.26 	5.54 
LIVER.express.scl24129.1.1_238.S	6	13135297	13135297-15018883	overdominant	trans	6.26 	5.51 
LIVER.express.scl45771.22.1_206.S	7	141612959	141612959-141877628	overdominant	trans	6.25 	5.89 
LIVER.express.GI_38082339.S	15	30690413	29562072-30690413	overdominant	trans	6.25 	5.46 
LIVER.express.scl35747.13.1_171.S	1	191159138	191159138-191177832	overdominant	trans	6.24 	5.76 
LIVER.express.scl44383.15_255.S	10	88796691	88796691-90880454	overdominant	trans	6.22 	5.65 
LIVER.express.scl000245.1_108.S	19	30392032	30313613-30392032	overdominant	trans	6.20 	5.40 
LIVER.express.scl0003510.1_178.S	15	41057624	38822570-44354896	overdominant	trans	6.20 	5.43 
LIVER.express.ri.D330034K12.PX00192N22.AK052345.2047.S	2	135137887	134965396-135469618	overdominant	trans	6.20 	5.42 
LIVER.express.NM_008512.1_chr10_._127640233_127640742_15.S	4	65047471	62368191-65047471	overdominant	NA	6.19 	5.42 
LIVER.express.scl000053.1_57_REVCOMP.S	10	85763536	85110017-86966167	overdominant	NA	6.19 	5.45 
LIVER.express.scl0066365.1_89.S	19	30392032	30313613-30392032	overdominant	trans	6.17 	5.38 
LIVER.express.scl0320989.1_47.S	9	111864845	111126430-112051764	overdominant	trans	6.15 	5.37 
LIVER.express.scl30195.2.415_74.S	4	86870741	86870741-86870741	overdominant	trans	6.15 	5.36 
LIVER.express.scl19069.14_351.S	12	110136460	109342019-112505105	overdominant	trans	6.14 	5.37 
LIVER.express.scl18521.5_12.S	9	44008183	44008183-45405044	overdominant	trans	6.14 	5.37 
LIVER.express.scl00219189.1_160.S	5	41922376	41433862-42201344	overdominant	trans	6.14 	6.36 
LIVER.express.GI_38080782.S	5	137009380	137009380-138337747	overdominant	NA	6.12 	6.02 
LIVER.express.scl54611.2_16.S	4	46553270	46553270-47048915	overdominant	trans	6.12 	5.34 
LIVER.express.MJ.5000.144_4275.S	5	143123114	143123114-143680249	overdominant	NA	6.11 	5.54 
LIVER.express.GI_38076234.S	3	158042515	158042515-158042515	overdominant	trans	6.10 	5.31 
