trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
ENSRNOT00000041718	7	141439713	141439713-141445917	dominant	cis	24.64 	47.05 
ENSRNOT00000020676	7	141439713	141023927-141445917	partial-dominant	cis	13.01 	37.89 
ENSRNOT00000038495	20	3905878	3703608-3905878	dominant	cis	12.07 	25.81 
ENSRNOT00000060947	5	166625502	165455641-166625502	dominant	cis	10.90 	23.93 
ENSRNOT00000038353	7	75329965	75329965-75329965	dominant	trans	10.85 	14.92 
ENSRNOT00000021655	5	166625502	165455641-166625502	dominant	cis	10.74 	23.80 
ENSRNOT00000048236	1	105883273	105883273-107796137	dominant	trans	9.20 	13.65 
ENSRNOT00000037867	13	94522479	94522479-94522479	overdominant	trans	8.93 	9.12 
ENSRNOT00000039555	7	118090714	118090714-118164046	dominant	trans	8.76 	11.64 
ENSRNOT00000047001	4	147354624	147346741-147683978	overdominant	trans	8.71 	9.99 
ENSRNOT00000028411	14	33049826	32904966-33049826	overdominant	trans	8.67 	8.04 
ENSRNOT00000004790	5	150299476	150299476-150547730	dominant	trans	8.21 	13.96 
ENSRNOT00000066852	4	148126784	148126784-148126784	overdominant	trans	8.14 	9.82 
ENSRNOT00000052317	5	26924172	26924172-26924172	overdominant	trans	8.02 	8.77 
ENSRNOT00000050438	9	37178783	37178783-37233898	overdominant	trans	7.86 	7.13 
ENSRNOT00000040261	9	37178783	37178783-37233898	overdominant	trans	7.86 	7.13 
ENSRNOT00000066256	15	18505169	18505169-18514785	overdominant	trans	7.84 	10.44 
ENSRNOT00000007861	16	12921103	12921103-12921103	overdominant	trans	7.82 	8.41 
ENSRNOT00000010523	2	57194555	57194555-57194555	dominant	trans	7.78 	10.35 
ENSRNOT00000030232	20	37275447	25112799-37668161	dominant	trans	7.74 	11.81 
ENSRNOT00000056283	20	25112799	25112799-37668161	dominant	trans	7.74 	11.35 
ENSRNOT00000068129	1	94531485	93919792-94531485	overdominant	trans	7.69 	6.85 
ENSRNOT00000066728	5	15179115	14044550-15179115	overdominant	trans	7.62 	7.17 
ENSRNOT00000027744	4	22945391	22915456-23627377	overdominant	trans	7.57 	6.75 
ENSRNOT00000010687	2	93502273	92401319-93934442	dominant	trans	7.55 	12.04 
ENSRNOT00000039190	10	92816186	88420834-92816186	dominant	trans	7.52 	9.99 
ENSRNOT00000043759	9	93235392	93235392-93235392	dominant	trans	7.52 	11.43 
ENSRNOT00000039190	18	53227673	52831246-53227673	dominant	trans	7.51 	9.33 
ENSRNOT00000027006	6	103202887	100213392-103245681	overdominant	trans	7.46 	6.63 
ENSRNOT00000002485	18	2259929	1092559-2545215	overdominant	trans	7.46 	6.98 
ENSRNOT00000030748	18	10192855	8771536-12003292	overdominant	trans	7.45 	6.82 
ENSRNOT00000001738	3	134625182	134613443-134632213	overdominant	trans	7.44 	6.70 
ENSRNOT00000032947	4	136177851	136015320-136373608	dominant	trans	7.40 	10.40 
ENSRNOT00000050062	8	43504197	43469866-48536805	dominant	trans	7.39 	10.02 
ENSRNOT00000002376	6	49421091	48823888-53812767	dominant	trans	7.39 	11.45 
ENSRNOT00000055879	18	10074526	8771536-12003292	overdominant	trans	7.39 	7.38 
ENSRNOT00000035805	19	42501474	41792427-42501474	overdominant	trans	7.37 	6.59 
ENSRNOT00000055378	8	108651111	108586931-108651111	overdominant	trans	7.37 	7.39 
ENSRNOT00000015907	11	77949151	77949151-79225168	dominant	trans	7.36 	12.13 
ENSRNOT00000066648	15	25497907	24887405-25674241	overdominant	trans	7.35 	7.96 
ENSRNOT00000056941	16	37050948	34865851-42095465	overdominant	trans	7.29 	6.63 
ENSRNOT00000010265	15	22873404	22800324-23637152	overdominant	trans	7.29 	7.50 
ENSRNOT00000019073	20	25938798	25112799-37668161	dominant	trans	7.26 	10.38 
ENSRNOT00000049232	5	12208928	12208928-17019261	dominant	trans	7.24 	12.23 
ENSRNOT00000049369	9	100561010	100028238-100974093	overdominant	trans	7.23 	6.48 
ENSRNOT00000001260	15	55537968	55537968-55705381	overdominant	trans	7.22 	6.98 
ENSRNOT00000067479	9	37233898	37178783-45848693	overdominant	trans	7.14 	6.42 
ENSRNOT00000024498	6	61217369	61163503-61217369	dominant	trans	7.14 	9.30 
ENSRNOT00000057946	15	84825998	84792736-84900526	overdominant	trans	7.13 	6.53 
