trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
gnl.UG.Ssc.S40475244	6	16815726	16815726-17464383	partial-dominant	trans	15.40 	41.89 
OVRM1_0115_D06	13	108484081	108418388-108535538	partial-dominant	NA	14.67 	46.79 
THY01_0089_H03	7	129233585	129233585-130194533	partial-dominant	NA	12.61 	77.50 
gnl.UG.Ssc.S39836829	7	130232391	130232391-130232391	overdominant	NA	11.47 	26.34 
THY01_0110_C09	3	115675803	115675803-117308221	overdominant	NA	11.15 	29.31 
gnl.UG.Ssc.S17513877	8	32326986	32326986-32326986	dominant	NA	10.65 	49.75 
gnl.UG.Ssc.S22415824	4	98959246	98959246-98959246	partial-dominant	cis	10.55 	40.96 
gnl.UG.Ssc.S46877453	14	3966701	3966701-3966701	partial-dominant	cis	10.50 	91.06 
OVRM1_0184_H03	10	38171624	38171624-39626717	overdominant	cis	10.25 	25.51 
gnl.UG.Ssc.S40475244	1	16505961	16505961-16505961	partial-dominant	trans	9.74 	30.29 
gnl.UG.Ssc.S23775562	4	98959246	98959246-98959246	partial-dominant	NA	9.42 	37.88 
LVRM1_0073_E05	12	62850561	62850561-62850561	partial-dominant	NA	8.92 	70.88 
gnl.UG.Ssc.S16514398	7	4855447	4855447-4855447	partial-dominant	NA	8.85 	49.46 
gnl.UG.Ssc.S35170662	6	41583184	41583184-41716844	partial-dominant	cis	8.72 	65.99 
gnl.UG.Ssc.S18545796	13	195762111	195762111-195762111	overdominant	trans	8.59 	8.53 
gnl.UG.Ssc.S35172870	10	22472673	22472673-22472673	overdominant	NA	8.53 	39.72 
gnl.UG.Ssc.S5989338	6	3199098	3005254-3199098	overdominant	NA	8.47 	17.98 
LVRM1_0073_E05	6	53833374	53833374-53833374	partial-dominant	NA	8.42 	63.93 
gnl.UG.Ssc.S40096094	3	60850148	60850148-60850148	partial-dominant	NA	8.38 	31.55 
gnl.UG.Ssc.S50197044	3	139450028	139450028-139450028	overdominant	NA	8.34 	19.94 
SPL01_0017_F12	6	146808544	146808544-146906493	partial-dominant	cis	8.03 	48.79 
gnl.UG.Ssc.S22285438	4	121010319	120752641-121045392	partial-dominant	NA	8.00 	45.15 
LVRM1_0161_D10	7	7187201	7187201-7187201	partial-dominant	NA	7.80 	23.77 
gnl.UG.Ssc.S21554820	11	75009361	75009361-75009361	overdominant	NA	7.75 	7.02 
gnl.UG.Ssc.S35172216	2	10827231	10737437-11089701	partial-dominant	cis	7.68 	30.88 
LVRM1_0127_A03	3	74240521	72098620-76408626	overdominant	trans	7.66 	6.81 
gnl.UG.Ssc.S35164461	2	8943379	8943379-8943379	overdominant	trans	7.63 	6.79 
gnl.UG.Ssc.S46877217	2	7190662	6687560-8270193	overdominant	trans	7.62 	7.00 
gnl.UG.Ssc.S35168303	9	145635458	145635458-145871712	overdominant	trans	7.57 	6.72 
gnl.UG.Ssc.S18553009	18	26440542	26440542-26851622	partial-dominant	cis	7.53 	48.69 
gnl.UG.Ssc.S23693357	7	130232391	130232391-130232391	overdominant	cis	7.53 	22.56 
gnl.UG.Ssc.S16762308	6	138646379	137693502-140397044	overdominant	NA	7.37 	7.20 
DCI01_0083_E04	8	19530551	19530551-19530551	overdominant	NA	7.32 	6.48 
gnl.UG.Ssc.S17515303	12	24496991	24496991-24496991	partial-dominant	cis	7.31 	25.25 
LVRM1_0161_D10	14	119189483	118847724-119250397	partial-dominant	NA	7.31 	37.32 
ITT01_0085_F05	1	299712009	299578776-299712009	overdominant	trans	7.31 	6.71 
gnl.UG.Ssc.S35169154	6	16192666	16192666-16192666	partial-dominant	trans	7.26 	35.86 
gnl.UG.Ssc.S21579944	3	3560915	2932242-3560915	overdominant	NA	7.25 	6.41 
gnl.UG.Ssc.S46878749	7	5484870	5484870-5484870	overdominant	trans	7.22 	6.38 
gnl.UG.Ssc.S18385687	5	33957565	33957565-33957565	overdominant	trans	7.22 	6.56 
gnl.UG.Ssc.S40292737	6	41809035	41809035-57107592	partial-dominant	trans	7.15 	50.86 
gnl.UG.Ssc.S40150562	15	22515269	20011263-28991507	overdominant	NA	7.14 	6.72 
gnl.UG.Ssc.S19538179	5	57142657	55027559-58351846	partial-dominant	NA	7.13 	48.76 
gnl.UG.Ssc.S20116217	17	25600780	25600780-25600780	overdominant	trans	7.11 	6.31 
gnl.UG.Ssc.S35166587	5	24330746	24330746-24330746	partial-dominant	NA	7.09 	73.55 
gnl.UG.Ssc.S50182610	16	83508511	83508511-83508511	overdominant	NA	7.08 	6.27 
gnl.UG.Ssc.S18553702	4	16375349	16375349-61059205	overdominant	trans	7.06 	6.26 
gnl.UG.Ssc.S20116315	7	743840	743840-4064048	overdominant	trans	7.04 	6.35 
gnl.UG.Ssc.S26731252	4	93281694	93281694-99102754	overdominant	trans	7.02 	6.24 
MLN01_0075_F02	1	32620900	32620900-32620900	overdominant	trans	7.00 	6.20 
gnl.UG.Ssc.S35164821	8	6254186	6254186-6254186	overdominant	trans	6.99 	6.19 
gnl.UG.Ssc.S23696512	4	25384415	25384415-25384415	overdominant	trans	6.98 	6.17 
gnl.UG.Ssc.S20455784	9	151898935	147742245-151898935	overdominant	trans	6.98 	6.38 
gnl.UG.Ssc.S6077331	6	138479475	42895779-138525779	overdominant	NA	6.95 	6.17 
gnl.UG.Ssc.S39789298	6	19193275	18825294-19193275	overdominant	trans	6.94 	6.11 
gnl.UG.Ssc.S5998521	4	109781341	102845684-109815184	overdominant	trans	6.93 	6.36 
gnl.UG.Ssc.S34513842	8	5094390	5094390-10669455	overdominant	NA	6.93 	6.19 
THY01_0102_D06	8	10724897	10669455-18169869	overdominant	trans	6.92 	6.54 
gnl.UG.Ssc.S40208375	3	11629648	8779749-11807754	overdominant	trans	6.91 	6.12 
gnl.UG.Ssc.S35164867	1	31274799	31274799-31274799	overdominant	NA	6.90 	6.07 
AMP01_0091_B09	4	81146575	81146575-81146575	overdominant	NA	6.90 	6.21 
gnl.UG.Ssc.S17525013	4	43739226	42581091-70560797	overdominant	NA	6.86 	6.09 
gnl.UG.Ssc.S46879010	7	134313767	134313767-134683639	partial-dominant	NA	6.85 	29.22 
gnl.UG.Ssc.S46879893	11	45537697	32515591-45537697	overdominant	trans	6.81 	6.00 
ITT01_0015_A04	6	4426420	4426420-5041803	overdominant	trans	6.79 	6.46 
gnl.UG.Ssc.S18557351	3	5300911	5300911-5300911	overdominant	NA	6.79 	5.97 
gnl.UG.Ssc.S39977996	13	82031954	79044236-82572552	partial-dominant	NA	6.79 	21.49 
gnl.UG.Ssc.S6061196	3	136732952	136732952-136732952	overdominant	NA	6.79 	6.24 
gnl.UG.Ssc.S17510000	16	49185777	43534471-51686047	overdominant	trans	6.77 	5.96 
gnl.UG.Ssc.S26716038	7	90748659	90748659-90748659	overdominant	NA	6.77 	6.07 
gnl.UG.Ssc.S18557007	4	60872333	60872333-60872333	overdominant	trans	6.76 	5.95 
SPL01_0086_A06	12	1801937	1801937-2424907	partial-dominant	NA	6.76 	53.41 
ITT01_0019_G03	4	120752641	120752641-121010319	partial-dominant	trans	6.75 	47.18 
gnl.UG.Ssc.S35165362	7	122877455	122877455-122877455	partial-dominant	NA	6.75 	75.79 
PBL01_0014_A06	15	108409178	96466368-109557689	partial-dominant	trans	6.74 	34.54 
gnl.UG.Ssc.S17518997	16	30377127	28805215-36343963	overdominant	NA	6.72 	5.94 
BKFL1_0096_C01	6	4472594	4472594-4472594	partial-dominant	NA	6.72 	26.23 
gnl.UG.Ssc.S43235515	16	22154500	9303194-22154500	overdominant	NA	6.72 	6.25 
gnl.UG.Ssc.S23775557	4	62835433	62177861-92448978	overdominant	NA	6.71 	6.15 
gnl.UG.Ssc.S23695210	12	24976658	24976658-24976658	overdominant	trans	6.69 	5.92 
DCI01_0062_B02	1	109409360	109409360-109409360	overdominant	trans	6.68 	5.87 
ADR01_0055_C07	13	19927000	19927000-24163486	overdominant	trans	6.67 	5.87 
gnl.UG.Ssc.S35164262	6	85830735	74286076-91298890	dominant	NA	6.67 	9.33 
gnl.UG.Ssc.S35169154	1	16505961	16505961-16505961	partial-dominant	trans	6.67 	29.15 
PBL01_0025_F09	6	143740794	143740794-143740794	partial-dominant	trans	6.67 	72.95 
gnl.UG.Ssc.S18550222	13	8809654	7144643-9056247	overdominant	NA	6.63 	6.19 
gnl.UG.Ssc.S16350929	15	146040566	146040566-146040566	overdominant	trans	6.62 	5.92 
gnl.UG.Ssc.S23212958	6	17189599	17189599-17202650	partial-dominant	cis	6.62 	58.96 
gnl.UG.Ssc.S41575680	1	160918538	156055338-161584404	overdominant	NA	6.58 	5.86 
gnl.UG.Ssc.S40097311	14	13030843	13030843-13030843	overdominant	NA	6.58 	5.80 
THY01_0039_B06	1	285371535	285371535-285371535	overdominant	trans	6.57 	5.77 
gnl.UG.Ssc.S26720808	15	61973073	61973073-61973073	overdominant	trans	6.57 	5.77 
gnl.UG.Ssc.S19539815	3	11629648	11629648-11629648	overdominant	NA	6.57 	5.77 
gnl.UG.Ssc.S40206903	11	16634421	16634421-16634421	overdominant	trans	6.57 	6.09 
gnl.UG.Ssc.S40667282	10	27053654	27053654-27053654	partial-dominant	NA	6.56 	23.97 
gnl.UG.Ssc.S40480053	13	215058814	214669192-215058814	overdominant	NA	6.55 	27.89 
gnl.UG.Ssc.S18385343	7	115457433	114501243-116269044	overdominant	trans	6.54 	6.04 
gnl.UG.Ssc.S46878299	1	290857964	289255372-293272853	overdominant	trans	6.54 	6.09 
gnl.UG.Ssc.S23768113	15	12185659	12185659-12185659	overdominant	trans	6.54 	5.91 
gnl.UG.Ssc.S23213352	13	201339708	201339708-201339708	overdominant	trans	6.53 	5.75 
DCI01_0009_G07	7	89831548	89207973-100195980	overdominant	NA	6.52 	5.74 
gnl.UG.Ssc.S40096590	5	11899846	11350875-11899846	partial-dominant	cis	6.51 	24.46 
gnl.UG.Ssc.S35173131	4	73851996	73851996-73851996	overdominant	trans	6.49 	5.96 
gnl.UG.Ssc.S31103010	16	84330710	82331961-84330710	overdominant	trans	6.48 	5.67 
gnl.UG.Ssc.S26719054	2	134587040	134587040-134587040	overdominant	NA	6.46 	5.65 
gnl.UG.Ssc.S35168841	13	209917180	209917180-211725969	overdominant	NA	6.45 	5.88 
gnl.UG.Ssc.S20947128	3	136316078	135481526-142329763	overdominant	NA	6.44 	5.65 
LVR01_0093_B03	11	80452159	79787910-80452159	overdominant	NA	6.44 	5.74 
gnl.UG.Ssc.S19545480	12	12721417	12721417-12721417	overdominant	trans	6.43 	5.78 
gnl.UG.Ssc.S20116695	9	12303255	12219870-12303255	overdominant	trans	6.42 	5.73 
gnl.UG.Ssc.S38481666	13	156938366	156938366-156938366	overdominant	NA	6.42 	5.63 
gnl.UG.Ssc.S19541616	3	5282063	5282063-7846008	overdominant	trans	6.42 	5.67 
gnl.UG.Ssc.S23212991	15	8749939	7711069-13727587	overdominant	NA	6.41 	5.67 
gnl.UG.Ssc.S19548011	2	141970187	141970187-141970187	overdominant	trans	6.41 	6.12 
gnl.UG.Ssc.S18355852	4	48331772	48331772-61059205	overdominant	trans	6.41 	5.60 
LVR01_0028_B12	15	120487102	120487102-120487102	overdominant	trans	6.41 	6.11 
gnl.UG.Ssc.S31986373	6	138263154	138263154-138263154	overdominant	NA	6.40 	5.74 
gnl.UG.Ssc.S23213367	10	39345211	29763139-76863103	overdominant	NA	6.40 	6.30 
gnl.UG.Ssc.S23771400	7	75227171	75227171-75227171	overdominant	trans	6.39 	5.60 
gnl.UG.Ssc.S20116803	15	135059821	135059821-135059821	overdominant	NA	6.39 	5.82 
gnl.UG.Ssc.S16516889	14	16407466	9053896-16993535	overdominant	trans	6.39 	10.49 
DCI01_0022_H12	10	65368061	65367909-65368061	overdominant	NA	6.38 	5.63 
OVRM1_0212_D08	1	285703790	284386253-286146126	overdominant	NA	6.37 	5.58 
gnl.UG.Ssc.S35164251	11	11951934	11951934-11951934	overdominant	NA	6.37 	5.57 
gnl.UG.Ssc.S26716038	16	30546512	29688428-36329246	overdominant	NA	6.37 	5.61 
THY01_0093_C05	4	130070036	130070036-139080993	overdominant	trans	6.37 	5.58 
gnl.UG.Ssc.S40141319	1	6579327	3533283-9497045	overdominant	NA	6.36 	5.58 
gnl.UG.Ssc.S6074539	13	13026095	13026095-14296693	overdominant	trans	6.36 	6.03 
LVR01_0047_A06	12	41226052	41226052-41226052	dominant	cis	6.35 	40.20 
gnl.UG.Ssc.S38675434	7	962832	962832-962832	overdominant	trans	6.35 	5.54 
gnl.UG.Ssc.S35169206	16	26654746	26654746-26654746	overdominant	NA	6.34 	5.59 
MLN01_0080_F11	7	4191064	4191064-4191064	overdominant	NA	6.34 	5.61 
gnl.UG.Ssc.S18359664	10	69200050	64907590-69985989	overdominant	NA	6.33 	5.63 
gnl.UG.Ssc.S40302861	3	2932242	2932242-3560915	overdominant	NA	6.32 	5.55 
gnl.UG.Ssc.S46878719	11	67039090	67039090-67039090	overdominant	NA	6.32 	5.65 
gnl.UG.Ssc.S19550409	1	215165889	215165889-215165889	overdominant	trans	6.32 	5.56 
gnl.UG.Ssc.S35172982	3	22771385	19654321-27988181	overdominant	NA	6.31 	5.53 
gnl.UG.Ssc.S46875757	9	46142741	30303161-46715924	overdominant	trans	6.31 	5.65 
gnl.UG.Ssc.S23772538	4	140394821	139599066-141290867	overdominant	trans	6.31 	5.60 
gnl.UG.Ssc.S40439438	2	72789816	72789816-72789816	overdominant	trans	6.31 	6.02 
gnl.UG.Ssc.S26719954	6	17894448	16815726-27880767	overdominant	NA	6.31 	5.66 
gnl.UG.Ssc.S20947190	4	106719032	81603573-106750789	overdominant	trans	6.30 	5.69 
gnl.UG.Ssc.S19546358	7	20917296	20917296-20917296	overdominant	trans	6.30 	5.72 
gnl.UG.Ssc.S6064874	6	104674691	92436663-104674691	overdominant	NA	6.29 	6.06 
gnl.UG.Ssc.S35174226	10	67654856	67654856-67654856	overdominant	NA	6.29 	5.67 
gnl.UG.Ssc.S40067837	7	119674459	117872445-120094480	overdominant	NA	6.29 	5.64 
gnl.UG.Ssc.S6083035	18	26420337	26420337-30359821	overdominant	trans	6.28 	5.49 
gnl.UG.Ssc.S40278304	8	10102045	10102045-10116124	overdominant	NA	6.28 	5.47 
MLN01_0071_G02	9	71170725	64773963-85229363	dominant	NA	6.28 	6.34 
ADR01_0031_H07	4	99083021	99083021-100720467	partial-dominant	NA	6.27 	26.96 
gnl.UG.Ssc.S17518385	14	138517212	135148446-142411491	overdominant	trans	6.27 	5.49 
gnl.UG.Ssc.S19546314	9	21486039	21486039-21486039	dominant	NA	6.26 	24.96 
gnl.UG.Ssc.S35174217	10	13367284	13257224-13558847	partial-dominant	cis	6.26 	45.25 
gnl.UG.Ssc.S40193201	17	36816974	36816974-36816974	overdominant	NA	6.26 	5.57 
gnl.UG.Ssc.S40579344	1	233738672	227936115-281777220	overdominant	NA	6.26 	5.47 
gnl.UG.Ssc.S23763041	6	39960478	38529067-39960478	overdominant	NA	6.25 	5.46 
SPL01_0050_A10	9	119480174	119480174-119480174	overdominant	NA	6.24 	5.70 
gnl.UG.Ssc.S43509703	12	3704627	2118343-4396633	overdominant	trans	6.24 	5.43 
gnl.UG.Ssc.S40055461	8	50863927	50863927-78843894	overdominant	NA	6.24 	5.75 
TES01_0062_A07	4	69516240	69516240-69701137	overdominant	trans	6.23 	5.43 
gnl.UG.Ssc.S35168126	11	77015017	75225635-77015017	overdominant	NA	6.22 	5.45 
gnl.UG.Ssc.S6090697	15	131255295	125288313-131539709	overdominant	trans	6.22 	5.57 
PTG01_0066_F04	15	131539709	123273726-131539709	overdominant	NA	6.22 	6.59 
LVR01_0044_A12	9	80613390	77814715-92976421	overdominant	trans	6.22 	5.56 
gnl.UG.Ssc.S18380537	18	49618941	46721915-49991095	overdominant	trans	6.20 	5.42 
gnl.UG.Ssc.S46877359	6	72691111	72691111-86081162	overdominant	trans	6.20 	5.97 
gnl.UG.Ssc.S40208543	5	22969678	22969678-63223930	overdominant	NA	6.19 	5.63 
