trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
THY01_0089_H03	7	129631666	129233585-130194533	partial-dominant	NA	18.85 	82.81 
gnl.UG.Ssc.S46878994	7	110024659	109523300-110024659	partial-dominant	NA	17.60 	54.50 
gnl.UG.Ssc.S35170662	6	41583184	41583184-41716844	partial-dominant	cis	13.77 	70.88 
gnl.UG.Ssc.S46876041	17	30203358	30203358-30670293	partial-dominant	cis	13.69 	71.52 
gnl.UG.Ssc.S39836829	7	130232391	130232391-130232391	overdominant	NA	13.62 	31.41 
gnl.UG.Ssc.S23213113	4	88804728	88804728-114804404	overdominant	trans	9.81 	9.25 
ADR01_0090_A05	11	25018778	25018778-25018778	overdominant	NA	9.13 	8.48 
gnl.UG.Ssc.S35169298	2	45086184	45086184-45086184	partial-dominant	cis	9.06 	66.03 
LVRM1_0037_D08	15	151625795	151625795-151625795	partial-dominant	cis	8.90 	83.00 
gnl.UG.Ssc.S35167544	6	17917275	17894448-18947067	partial-dominant	cis	8.86 	29.43 
gnl.UG.Ssc.S23213279	2	11089701	11066709-11089701	partial-dominant	cis	8.80 	46.03 
gnl.UG.Ssc.S40171664	3	20071065	19654321-21777886	overdominant	NA	8.75 	8.13 
gnl.UG.Ssc.S35172759	4	95235358	16822081-95235358	dominant	cis	8.66 	9.57 
PBL01_0010_D02	2	138867885	138749544-139865658	partial-dominant	cis	8.59 	52.50 
gnl.UG.Ssc.S35171216	12	6269592	5900678-6269592	overdominant	NA	8.34 	7.52 
gnl.UG.Ssc.S35169214	13	199515279	199515279-202071613	overdominant	NA	8.17 	7.58 
LVRM1_0040_A07	14	135180711	135180711-135180711	partial-dominant	cis	8.12 	78.28 
gnl.UG.Ssc.S19544549	7	95834078	95566145-95834078	overdominant	trans	8.08 	8.65 
THY01_0110_C09	3	117308221	117308221-117308221	dominant	NA	8.06 	32.28 
gnl.UG.Ssc.S16767994	17	53166870	53166870-53166870	partial-dominant	cis	8.05 	38.31 
