trait	chr	pos	QTL_Type	logP_AD	DGE_chr	DGE_start	DGE_end
LUNG.express.scl00240832.1_75.S	1	157588821	partial-dominant	22.89 	1	157915696	157915746
LUNG.express.ri.A930005F14.PX00065N11.AK044279.2823.S	7	98367760	overdominant	6.80 	16	56213185	56213235
LUNG.express.scl0404239.1_123.S	13	117704933	overdominant	6.69 	7	55423613	55423663
LUNG.express.scl0001362.1_23.S	11	13574320	overdominant	6.74 	11	117637372	117637422
LUNG.express.scl015019.3_96.S	17	35338547	partial-dominant	23.04 	17	35576601	35576651
LUNG.express.GI_38086471.S	13	118295239	overdominant	6.26 	NA	NA	NA
LUNG.express.GI_38074166.S	11	27225166	overdominant	6.33 	NA	NA	NA
LUNG.express.scl41278.6_6.S	1	35090385	overdominant	6.04 	11	74658188	74658238
LUNG.express.scl0217365.1_17.S	1	35090385	overdominant	6.19 	11	120241998	120242048
LUNG.express.scl011550.2_29.S	7	62761433	overdominant	6.05 	2	131371925	131371975
LUNG.express.scl20038.8.1_45.S	17	37015293	overdominant	5.94 	2	155895119	155895169
LUNG.express.scl0076187.2_208.S	12	15543610	overdominant	6.17 	1	9567868	9567918
LUNG.express.scl53142.15_13.S	7	103902463	overdominant	5.99 	19	40816611	40816661
LUNG.express.GI_38092622.S	17	35276617	overdominant	6.03 	11	121083732	121083782
LUNG.express.scl20194.20.1_79.S	5	114910345	overdominant	5.88 	2	144416299	144416349
LUNG.express.scl19404.11_191.S	8	16234369	overdominant	5.80 	2	34798969	34799019
LUNG.express.scl26423.7_124.S	18	38814708	overdominant	5.84 	5	87319348	87319398
LUNG.express.scl00170655.1_251.S	10	128933001	overdominant	5.72 	16	88962616	88962666
LUNG.express.scl22918.3.1_7.S	8	127970908	overdominant	5.70 	3	93083869	93083919
LUNG.express.scl53055.1.1_122.S	7	62761433	overdominant	5.93 	19	46957659	46957709
LUNG.express.scl069332.2_320.S	16	94890932	overdominant	5.89 	3	91938948	91938998
LUNG.express.scl37963.14.1_0.S	2	125123408	overdominant	6.19 	10	53355126	53355176
LUNG.express.scl0012745.2_138.S	3	136180388	overdominant	5.57 	NA	NA	NA
LUNG.express.GI_28524514.S	6	127541504	overdominant	5.56 	18	62343697	62343747
LUNG.express.scl30463.23.1_0.S	7	141877628	overdominant	5.56 	7	150259904	150259954
LUNG.express.GI_38090303.S	4	55773014	overdominant	5.57 	NA	NA	NA
LUNG.express.scl068338.3_10.S	19	9504952	overdominant	5.72 	1	135216822	135216872
LUNG.express.ri.9630020M15.PX00115B17.AK035956.3397.S	17	50872569	overdominant	5.52 	X	110176560	110176610
LUNG.express.scl34879.6.1_29.S	1	94034705	overdominant	5.56 	8	44215649	44215699
LUNG.express.GI_38075688.S	9	118729237	overdominant	5.82 	2	176870255	176870305
LUNG.express.scl46058.1.690_159.S	6	112474354	overdominant	5.52 	14	79512439	79512489
LUNG.express.GI_38090516.S	11	38616731	overdominant	5.82 	X	50882944	50882994
LUNG.express.ri.1700086D15.ZX00076J18.AK007013.1092.S	5	21254489	overdominant	5.51 	11	64965550	64965600
LUNG.express.scl0076826.1_48.S	18	55645310	overdominant	5.59 	12	53245017	53245067
LUNG.express.scl00107684.1_165.S	15	89984569	overdominant	5.69 	4	46550603	46550653
LUNG.express.GI_38080559.S	1	153102842	overdominant	6.20 	NA	NA	NA
LUNG.express.GI_6755065.S	9	45240427	overdominant	5.52 	7	3860278	3860328
LUNG.express.scl0227634.1_319.S	7	103902463	overdominant	5.57 	2	25784727	25784777
LUNG.express.scl070222.2_44.S	1	45969119	overdominant	5.84 	4	75587439	75587489
LUNG.express.scl19157.1.1_197.S	6	73258104	overdominant	5.45 	2	71194855	71194905
LUNG.express.scl18227.6.1_62.S	1	45969119	overdominant	5.45 	2	180060111	180060161
LUNG.express.scl0073385.1_119.S	5	55122580	overdominant	6.04 	NA	NA	NA
LUNG.express.scl017843.3_24.S	13	11193693	overdominant	5.43 	4	59970936	59970986
LUNG.express.scl0015006.1_287.S	6	93599787	overdominant	5.64 	17	35460520	35460748
LUNG.express.ri.B930072B04.PX00665E16.AK081033.1928.S	1	191159138	overdominant	5.43 	NA	NA	NA
LUNG.express.scl0004058.1_1.S	11	13574320	overdominant	5.36 	5	147104212	147104262
LUNG.express.scl50590.2_200.S	9	112348235	overdominant	5.67 	17	56878131	56878181
LUNG.express.ri.A430080K08.PX00138I05.AK040251.3127.S	5	65220801	overdominant	5.34 	15	27504024	27504074
LUNG.express.scl40239.15.8_12.S	14	61173577	overdominant	5.33 	11	53076414	53076464
LUNG.express.scl0068014.2_271.S	10	98705083	overdominant	5.51 	9	63985016	63985066
LUNG.express.scl25206.6.1_30.S	18	82409897	overdominant	5.81 	4	102676851	102676901
LUNG.express.ri.C230066C21.PX00175D01.AK048784.2229.S	8	6461410	overdominant	5.30 	13	97435008	97435058
LUNG.express.ri.B930001A02.PX00162N04.AK046885.2722.S	17	27109862	overdominant	5.32 	13	89339856	89339906
LUNG.express.scl0068395.1_77.S	17	35338547	partial-dominant	20.62 	17	35562289	35562532
LUNG.express.scl0015130.1_284.S	7	109389714	partial-dominant	22.83 	NA	NA	NA
LUNG.express.GI_38077598.S	7	38581915	overdominant	5.30 	NA	NA	NA
LUNG.express.ri.D130012J16.PX00182K18.AK051186.1345.S	9	115064991	overdominant	5.33 	7	151949959	151950009
LUNG.express.scl00319329.1_235.S	14	120370854	overdominant	5.45 	4	85021480	85021530
LUNG.express.scl54223.9_256.S	7	103902463	overdominant	5.27 	X	54636989	54637039
LUNG.express.scl8880.1.1_324.S	11	110041474	overdominant	5.31 	7	110506787	110506837
LUNG.express.scl0002099.1_352.S	9	43879730	overdominant	5.50 	3	96509405	96509455
LUNG.express.ri.2610312E17.ZX00062G17.AK012014.1096.S	8	103943744	overdominant	5.32 	3	105768817	105768867
LUNG.express.scl28494.5_15.S	15	29961592	overdominant	5.34 	6	118412024	118412074
LUNG.express.scl00040.1_6.S	7	103902463	overdominant	5.31 	7	74377102	74377152
LUNG.express.scl0020782.1_0.S	18	57963768	overdominant	5.22 	NA	NA	NA
LUNG.express.scl40040.13.1_25.S	7	65717422	overdominant	6.28 	11	69038517	69038567
LUNG.express.scl22733.6.2_0.S	11	30780122	overdominant	5.25 	3	107700903	107700953
LUNG.express.scl0016687.2_101.S	1	191933702	overdominant	5.23 	NA	NA	NA
LUNG.express.scl35313.16.1_55.S	15	22448859	overdominant	5.22 	9	110531627	110531677
LUNG.express.ri.A130073F08.PX00125M21.AK038038.4012.S	6	50950045	overdominant	5.79 	17	6037977	6038027
LUNG.express.scl014897.1_33.S	7	103902463	overdominant	5.18 	1	84721230	84721280
LUNG.express.scl0003808.1_9.S	3	118561493	overdominant	5.18 	10	78039348	78039398
LUNG.express.scl52228.8_235.S	13	9569969	overdominant	5.17 	18	14920280	14920330
LUNG.express.scl38489.11_9.S	9	37895400	overdominant	5.16 	10	99562958	99563008
LUNG.express.scl0014964.1_100.S	17	35276617	partial-dominant	33.73 	NA	NA	NA
LUNG.express.scl51507.12.1_81.S	11	58057719	overdominant	5.21 	18	36844826	36844876
LUNG.express.ri.5330440O04.PX00054H12.AK030642.2193.S	9	111095398	overdominant	5.47 	1	84530755	84530805
LUNG.express.scl0001215.1_7.S	7	103902463	overdominant	6.02 	6	116595921	116595971
LUNG.express.scl23222.4_222.S	1	76386570	overdominant	6.08 	3	51055148	51055198
LUNG.express.scl40497.6_233.S	12	118579723	overdominant	5.22 	11	17839166	17839216
LUNG.express.ri.1700012M13.ZX00036J16.AK005924.1026.S	17	27109862	overdominant	5.46 	2	118070491	118070541
LUNG.express.scl0020429.2_241.S	17	38319010	overdominant	5.11 	3	66777270	66777320
