trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
LUNG.express.scl00240832.1_75.S	1	157588821	157588821-158738631	partial-dominant	cis	7.90 	22.89 
LUNG.express.ri.A930005F14.PX00065N11.AK044279.2823.S	7	98367760	98367760-100461337	overdominant	trans	7.58 	6.80 
LUNG.express.scl0404239.1_123.S	13	117704933	115746287-117704933	overdominant	trans	7.49 	6.69 
LUNG.express.scl0001362.1_23.S	11	13574320	13001313-14278667	overdominant	trans	7.34 	6.74 
LUNG.express.scl015019.3_96.S	17	35338547	35338547-35338547	partial-dominant	cis	7.20 	23.04 
LUNG.express.GI_38086471.S	13	118295239	118295239-118295239	overdominant	NA	7.06 	6.26 
LUNG.express.GI_38074166.S	11	27225166	24572649-29118438	overdominant	NA	6.99 	6.33 
LUNG.express.scl41278.6_6.S	1	35090385	35090385-35090385	overdominant	trans	6.85 	6.04 
LUNG.express.scl0217365.1_17.S	1	35090385	35090385-35090385	overdominant	trans	6.81 	6.19 
LUNG.express.scl011550.2_29.S	7	62761433	62761433-63388010	overdominant	trans	6.81 	6.05 
LUNG.express.scl20038.8.1_45.S	17	37015293	35276617-37268527	overdominant	trans	6.75 	5.94 
LUNG.express.scl0076187.2_208.S	12	15543610	15543610-15543610	overdominant	trans	6.75 	6.17 
LUNG.express.scl53142.15_13.S	7	103902463	103902463-104154190	overdominant	trans	6.74 	5.99 
LUNG.express.GI_38092622.S	17	35276617	35276617-37268527	overdominant	trans	6.66 	6.03 
LUNG.express.scl20194.20.1_79.S	5	114910345	114910345-115642157	overdominant	trans	6.62 	5.88 
LUNG.express.scl19404.11_191.S	8	16234369	15993277-16660854	overdominant	trans	6.52 	5.80 
LUNG.express.scl26423.7_124.S	18	38814708	38814708-38945103	overdominant	trans	6.51 	5.84 
LUNG.express.scl00170655.1_251.S	10	128933001	128933001-128933001	overdominant	trans	6.51 	5.72 
LUNG.express.scl22918.3.1_7.S	8	127970908	101142950-128733570	overdominant	trans	6.51 	5.70 
LUNG.express.scl53055.1.1_122.S	7	62761433	62761433-63388010	overdominant	trans	6.46 	5.93 
LUNG.express.scl069332.2_320.S	16	94890932	94890932-94916267	overdominant	trans	6.40 	5.89 
LUNG.express.scl37963.14.1_0.S	2	125123408	125123408-125123408	overdominant	trans	6.38 	6.19 
LUNG.express.scl0012745.2_138.S	3	136180388	136180388-136689544	overdominant	NA	6.37 	5.57 
LUNG.express.GI_28524514.S	6	127541504	126754247-127844838	overdominant	trans	6.36 	5.56 
LUNG.express.scl30463.23.1_0.S	7	141877628	141877628-141877628	overdominant	trans	6.35 	5.56 
LUNG.express.GI_38090303.S	4	55773014	55773014-55773014	overdominant	NA	6.34 	5.57 
LUNG.express.scl068338.3_10.S	19	9504952	8993876-10248920	overdominant	trans	6.33 	5.72 
LUNG.express.ri.9630020M15.PX00115B17.AK035956.3397.S	17	50872569	50872569-50872569	overdominant	trans	6.32 	5.52 
