trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
ENSRNOG00000043504	12	17995448	17995448-18118861	dominant	cis	71.63 	104.77 
ENSRNOG00000024064	20	2936355	2936355-2936355	partial-dominant	cis	50.85 	85.60 
ENSRNOG00000031982	20	2761687	1659889-3286135	partial-dominant	cis	47.31 	80.67 
ENSRNOG00000029386	20	2761687	2761687-3286135	dominant	cis	46.38 	79.61 
ENSRNOG00000038892	2	85659287	85659287-91167603	dominant	trans	35.56 	55.91 
ENSRNOG00000027873	20	650911	650911-2758456	partial-dominant	cis	23.23 	48.78 
ENSRNOG00000003606	13	82942036	82942036-83149811	dominant	trans	23.08 	39.17 
ENSRNOG00000022854	12	27850303	27850303-28155047	dominant	trans	22.63 	53.14 
ENSRNOG00000018045	7	141411891	141404668-141445917	dominant	trans	21.88 	47.92 
ENSRNOG00000033307	4	161442362	161442362-162332753	dominant	trans	21.20 	32.78 
ENSRNOG00000031154	10	15489538	15489538-15489538	dominant	cis	20.87 	46.63 
ENSRNOG00000042798	20	2872386	2872386-3201568	partial-dominant	cis	19.89 	49.20 
ENSRNOG00000017898	19	36812725	36812725-36998404	partial-dominant	trans	19.82 	54.29 
ENSRNOG00000030466	5	115907645	115907645-116608655	partial-dominant	cis	19.66 	38.66 
ENSRNOG00000026646	5	143150782	142704326-143317360	partial-dominant	cis	17.85 	46.40 
ENSRNOG00000020641	10	13656572	13530753-13990345	dominant	trans	17.31 	34.73 
ENSRNOG00000032131	19	22518052	22518052-22518052	partial-dominant	cis	17.20 	38.14 
ENSRNOG00000033517	15	56269869	56269869-57474367	partial-dominant	trans	16.44 	41.23 
ENSRNOG00000011236	1	63847549	62427101-63978614	partial-dominant	cis	15.33 	34.16 
ENSRNOG00000009373	1	97210015	97201100-97668190	partial-dominant	trans	14.38 	49.72 
ENSRNOG00000039386	15	31765696	31765696-31881355	partial-dominant	trans	14.38 	34.92 
ENSRNOG00000030074	2	190854422	190713613-191454679	partial-dominant	cis	13.72 	37.58 
ENSRNOG00000014090	4	105756398	105751578-106169183	partial-dominant	cis	12.87 	60.10 
ENSRNOG00000003180	20	29817467	29817467-30285956	partial-dominant	trans	12.67 	25.72 
ENSRNOG00000022350	7	120394760	120394760-120924175	partial-dominant	trans	12.36 	47.15 
ENSRNOG00000017895	5	167351420	166679983-167351420	partial-dominant	cis	12.21 	34.76 
ENSRNOG00000021566	10	13530753	12884321-13990345	dominant	trans	11.95 	27.20 
ENSRNOG00000007960	7	11680731	11680731-12408772	partial-dominant	cis	10.32 	26.19 
ENSRNOG00000000014	3	148447335	148438159-148648338	partial-dominant	cis	10.26 	33.74 
ENSRNOG00000006765	16	54517715	53067310-54732329	overdominant	trans	10.24 	9.80 
ENSRNOG00000043257	12	18074447	18074447-18074447	dominant	cis	10.09 	20.37 
ENSRNOG00000016164	2	179571598	177930954-179883859	partial-dominant	cis	9.95 	34.42 
ENSRNOG00000040749	8	42950410	42597400-43082459	dominant	trans	9.89 	11.15 
ENSRNOG00000038744	10	105320711	105197690-105971490	partial-dominant	trans	9.86 	27.16 
ENSRNOG00000037192	12	36158198	36158198-36887515	dominant	trans	9.78 	14.53 
ENSRNOG00000030666	20	1586175	1586175-3286135	partial-dominant	cis	9.36 	28.82 
ENSRNOG00000031065	20	446289	427465-2758456	partial-dominant	cis	9.16 	29.50 
ENSRNOG00000011040	11	43796891	43734103-44527930	partial-dominant	trans	9.03 	25.25 
ENSRNOG00000039525	8	34331287	34331287-34410971	overdominant	trans	8.45 	7.94 
ENSRNOG00000012216	17	13874825	13874825-13934824	partial-dominant	cis	8.43 	36.86 
ENSRNOG00000018598	4	8613150	8613150-9537798	dominant	trans	8.34 	11.13 
ENSRNOG00000016971	6	58669589	58669589-59363356	overdominant	trans	8.28 	8.34 
ENSRNOG00000043259	6	49396937	48920908-50631594	dominant	trans	8.16 	10.67 
ENSRNOG00000031743	2	87720771	85450442-89332342	overdominant	trans	8.08 	7.25 
ENSRNOG00000010268	2	153945574	153516180-154327188	partial-dominant	cis	8.04 	40.55 
ENSRNOG00000004202	16	52619721	52619721-52960248	overdominant	trans	7.97 	9.42 
ENSRNOG00000016955	6	5391181	5226350-5467985	overdominant	trans	7.87 	7.28 
ENSRNOG00000032664	20	2966177	650911-3286135	partial-dominant	cis	7.85 	36.62 
ENSRNOG00000030541	2	192261685	192257905-192334542	dominant	trans	7.84 	9.54 
ENSRNOG00000021555	11	29519706	29519706-30800243	partial-dominant	cis	7.76 	26.16 
ENSRNOG00000010021	6	58669589	58669589-58992751	overdominant	trans	7.73 	7.22 
ENSRNOG00000033372	6	58669589	55406785-58992751	overdominant	trans	7.69 	8.42 
ENSRNOG00000012067	1	215360573	215360573-216915118	partial-dominant	cis	7.68 	46.99 
ENSRNOG00000042700	20	26206462	26205697-26308006	dominant	trans	7.64 	10.82 
ENSRNOG00000040619	7	45145894	44882817-45145894	overdominant	trans	7.58 	6.94 
ENSRNOG00000039879	8	92108182	92083422-92376774	overdominant	trans	7.56 	8.34 
ENSRNOG00000032531	3	3035499	347175-3208630	overdominant	trans	7.56 	9.08 
ENSRNOG00000028543	5	166593272	166167316-168098314	dominant	trans	7.54 	21.48 
ENSRNOG00000008264	13	70201616	70201616-72222019	overdominant	trans	7.52 	6.71 
ENSRNOG00000008714	4	50482502	50362208-50495559	dominant	trans	7.52 	11.21 
ENSRNOG00000023877	20	26665901	26206462-26720591	dominant	trans	7.43 	9.14 
ENSRNOG00000032659	16	79106177	79001955-79322364	overdominant	trans	7.37 	6.56 
ENSRNOG00000017412	3	112560811	112241751-112652899	partial-dominant	trans	7.33 	22.47 
ENSRNOG00000029001	20	2761687	2761687-3286135	partial-dominant	cis	7.32 	47.66 
ENSRNOG00000002984	4	177122921	176693279-177244612	overdominant	trans	7.32 	7.26 
ENSRNOG00000031629	16	55035943	52619721-55402135	overdominant	trans	7.29 	6.62 
ENSRNOG00000044241	8	100116767	99926069-100191344	dominant	trans	7.29 	11.21 
ENSRNOG00000033339	9	19955625	19955625-20757025	overdominant	trans	7.26 	6.66 
ENSRNOG00000021728	8	91762305	91316452-92051934	overdominant	trans	7.24 	6.53 
ENSRNOG00000038836	18	16432040	16432040-17588777	overdominant	trans	7.19 	6.45 
ENSRNOG00000012744	8	3373788	1546567-3505536	overdominant	trans	7.18 	6.39 
ENSRNOG00000031808	2	52773527	51756402-52833856	dominant	trans	7.15 	11.72 
ENSRNOG00000001644	20	16231799	15658029-16324733	overdominant	trans	7.14 	6.47 
ENSRNOG00000033805	7	75329564	75329564-75329965	overdominant	trans	7.13 	8.08 
ENSRNOG00000045520	16	897633	897633-1669293	overdominant	trans	7.10 	6.50 
ENSRNOG00000023116	16	79640260	79114939-79735101	overdominant	trans	7.10 	6.38 
ENSRNOG00000011517	19	34949048	34949048-35859887	overdominant	trans	7.09 	6.30 
ENSRNOG00000022855	4	154881827	154430128-154881827	overdominant	trans	7.07 	6.62 
ENSRNOG00000012863	8	83143395	83143395-83482575	dominant	trans	7.07 	22.41 
ENSRNOG00000041946	1	220864240	220864240-221157800	dominant	trans	7.06 	7.97 
ENSRNOG00000000967	2	40840244	40840244-40851618	overdominant	trans	7.06 	6.27 
ENSRNOG00000031873	8	43504197	43469866-43504197	dominant	trans	7.03 	9.11 
ENSRNOG00000029936	20	13431315	13431315-13976955	overdominant	trans	6.99 	6.18 
ENSRNOG00000021081	6	58669589	55406785-58992751	overdominant	trans	6.95 	7.08 
ENSRNOG00000039357	5	70554910	70139284-70709900	dominant	trans	6.95 	8.24 
ENSRNOG00000009449	2	115361160	113573685-115561257	overdominant	trans	6.94 	6.67 
ENSRNOG00000007968	4	60513255	59022653-61624982	overdominant	trans	6.93 	6.21 
ENSRNOG00000038606	10	97620937	96712363-97620937	overdominant	trans	6.93 	8.08 
ENSRNOG00000015772	4	144232122	143642663-144568453	overdominant	trans	6.89 	7.68 
ENSRNOG00000040748	5	150113359	150111592-150251885	overdominant	trans	6.88 	8.75 
ENSRNOG00000020115	18	10166096	8771536-13639446	overdominant	trans	6.87 	6.16 
ENSRNOG00000025075	18	10270666	8771536-12016376	overdominant	trans	6.85 	6.46 
ENSRNOG00000016710	6	114460984	114377353-114774993	dominant	trans	6.83 	9.50 
ENSRNOG00000030698	6	54211717	53420166-57730483	dominant	trans	6.82 	10.67 
ENSRNOG00000016780	10	38439687	38376195-39033208	overdominant	trans	6.81 	7.59 
ENSRNOG00000003180	4	153641620	153625857-153764163	overdominant	trans	6.81 	6.03 
ENSRNOG00000039980	16	9835950	9714740-11027526	overdominant	trans	6.80 	6.65 
ENSRNOG00000043416	17	26212665	26212665-26212665	overdominant	trans	6.80 	7.43 
ENSRNOG00000009812	6	58669589	58669589-59363356	overdominant	trans	6.76 	6.08 
ENSRNOG00000026662	2	250755642	250755642-250755642	overdominant	trans	6.76 	6.55 
ENSRNOG00000029837	17	27792978	27751799-27988772	overdominant	trans	6.76 	6.77 
ENSRNOG00000042147	10	36277607	36263144-36330975	overdominant	trans	6.73 	6.12 
ENSRNOG00000042812	6	58669589	55407159-58992751	overdominant	trans	6.71 	6.35 
ENSRNOG00000027422	6	56950800	55066682-57739181	overdominant	trans	6.70 	5.91 
ENSRNOG00000040357	9	69990701	68036310-70319384	dominant	trans	6.69 	9.96 
ENSRNOG00000010441	11	40063247	39795876-40063247	overdominant	trans	6.68 	6.88 
ENSRNOG00000025187	8	96087875	96016977-96307687	overdominant	trans	6.67 	5.92 
ENSRNOG00000001682	6	58669589	55407159-58992751	overdominant	trans	6.67 	6.10 
ENSRNOG00000021533	4	104977645	103528562-105712306	overdominant	trans	6.66 	6.09 
ENSRNOG00000040972	4	82854590	82288736-147263222	overdominant	trans	6.66 	5.87 
ENSRNOG00000019376	6	55407159	55406785-58992751	overdominant	trans	6.66 	6.80 
ENSRNOG00000021145	6	58669589	58669589-59145299	overdominant	trans	6.65 	7.44 
ENSRNOG00000007771	5	111811668	111811668-112540841	overdominant	trans	6.63 	7.42 
ENSRNOG00000039357	16	18824418	18824418-18895108	partial-dominant	cis	6.62 	33.91 
ENSRNOG00000006110	9	88836828	88831973-88836828	overdominant	trans	6.62 	5.91 
ENSRNOG00000020652	12	34093239	34093239-34428708	overdominant	trans	6.62 	5.83 
ENSRNOG00000002423	17	70053593	70053593-70867923	overdominant	trans	6.61 	5.95 
ENSRNOG00000037031	7	91908839	91908839-91967305	overdominant	trans	6.58 	8.18 
ENSRNOG00000004842	9	100982053	97079538-101460670	overdominant	trans	6.58 	6.13 
ENSRNOG00000011066	8	6022696	6022696-6219411	overdominant	trans	6.58 	5.78 
ENSRNOG00000013516	6	58669589	58669589-118649640	dominant	trans	6.57 	8.31 
ENSRNOG00000001711	20	114486	114486-178011	overdominant	trans	6.57 	5.85 
ENSRNOG00000035349	5	159919850	158954959-161459037	overdominant	trans	6.57 	5.82 
ENSRNOG00000010144	5	76955855	76693291-79934045	overdominant	trans	6.57 	5.80 
ENSRNOG00000044661	9	85239922	85039677-85455265	overdominant	trans	6.56 	6.29 
ENSRNOG00000009849	4	9251242	8613150-9537798	overdominant	trans	6.56 	5.84 
ENSRNOG00000008518	14	15179592	15124865-18287287	overdominant	trans	6.55 	5.87 
ENSRNOG00000031982	2	53361319	53344428-53444530	overdominant	trans	6.54 	5.78 
ENSRNOG00000039154	10	21019700	21019700-21019700	overdominant	trans	6.54 	6.39 
ENSRNOG00000007751	18	65289186	65289186-78162166	overdominant	trans	6.52 	5.93 
ENSRNOG00000022021	3	25676865	24915072-26180774	overdominant	trans	6.50 	5.86 
ENSRNOG00000008284	17	88816961	88816961-89140191	overdominant	trans	6.50 	5.96 
ENSRNOG00000019369	18	1122149	1092559-2581117	overdominant	trans	6.50 	5.71 
ENSRNOG00000038140	6	58669589	55407159-59363356	overdominant	trans	6.49 	6.09 
ENSRNOG00000039873	6	42692993	40837428-42809030	overdominant	trans	6.49 	8.10 
ENSRNOG00000005116	3	80944753	80587484-81284191	overdominant	trans	6.49 	5.81 
ENSRNOG00000022209	2	212003966	212003966-212003966	overdominant	trans	6.47 	7.61 
ENSRNOG00000038953	12	6172530	6172530-6507411	partial-dominant	trans	6.46 	19.65 
ENSRNOG00000005097	4	72727990	72673350-74711759	overdominant	trans	6.46 	5.75 
ENSRNOG00000023639	6	58669589	58669589-58992751	overdominant	trans	6.45 	6.19 
ENSRNOG00000019445	16	26009563	25941515-26012996	dominant	trans	6.44 	8.30 
ENSRNOG00000003853	8	102062320	102062320-102062320	overdominant	trans	6.44 	5.78 
ENSRNOG00000021205	5	30437821	30437821-31384923	overdominant	trans	6.43 	5.74 
ENSRNOG00000029670	9	9887676	9887676-10771255	overdominant	trans	6.43 	6.35 
ENSRNOG00000016344	18	9376405	3769971-12016376	overdominant	trans	6.42 	6.30 
ENSRNOG00000043643	10	42705440	42566896-43808473	dominant	trans	6.42 	7.80 
ENSRNOG00000012020	1	3728253	3170823-46805299	overdominant	trans	6.42 	5.86 
ENSRNOG00000014980	8	102062320	102062320-102062320	overdominant	trans	6.42 	5.63 
